class	size	virtual_size	raw score(mean)	pval (mean)	raw score(median)	pval (median)	roc_rate	rocpval	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
"energy_coupled_proton_transport,_down_the_electrochemical_gradient_GO:0015985"	5	4	3.027253906	0.12705	1.65162659	0.52974	0.453780753	0.543856121	0.363346095	0.407966121	0.395968463	0.305396706	0.226278927	0.162449802	0.103177133	0.069357918	0.045613147	0.965727687
energy_derivation_by_oxidation_of_organic_compounds_GO:0015980	110	94	3.034652687	0.12565	2.191559492	0.34342	0.63663118	0.018697097	4.70E-05	3.20E-06	1.64E-04	2.51E-05	5.24E-04	9.86E-04	0.003546593	0.001320864	0.004153811	0.001136123
enhancer_binding_GO:0003705	28	19	1.49574983	0.60193	0.711545927	0.92469	0.37928184	0.72831183	0.043858306	0.138369694	0.192535624	0.264316076	0.249452774	0.401121406	0.581662863	0.703467572	0.797695367	0.847216329
enoyl-CoA_hydratase_GO:0004300	5	5	4.078259583	0.03745	4.950781977	0.03061	0.649282354	0.300902976	0.3408378	0.140685123	0.038355956	0.00981733	0.039773461	0.193560545	0.125362954	0.08511861	0.056349454	0.957342207
enterobactin_biosynthesis_GO:0009239	14	11	3.87208137	0.04823	2.240142254	0.32916	0.694146047	0.150477641	0.059473919	0.141506183	0.025682964	0.00330104	0.004830643	0.01153071	0.033501255	0.015564205	0.115514727	0.908516276
enterobactin_metabolism_GO:0009238	14	11	3.87208137	0.04823	2.240142254	0.32916	0.694146047	0.150477641	0.059473919	0.141506183	0.025682964	0.00330104	0.004830643	0.01153071	0.033501255	0.015564205	0.115514727	0.908516276
enzyme_binding_GO:0019899	13	10	2.113280721	0.34335	2.062003945	0.38218	0.545751871	0.422993934	0.227404233	0.111634926	0.297605113	0.386545575	0.36522222	0.304611602	0.751988218	0.831086475	0.887898911	0.916479896
eosinophil_peroxidase_GO:0016685	4	4	1.577041592	0.56313	2.027065081	0.39679	0.555957549	0.456577541	0.311773529	0.273412745	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
ephrin_GO:0005106	19	14	3.64378914	0.06327	2.898689157	0.18205	0.542346569	0.263347996	0.116562754	0.202609025	0.238291233	0.268577338	0.187937083	0.112445161	0.050920494	0.02437799	0.141914511	0.108648502
ephrin_receptor_GO:0005003	12	8	2.877991142	0.14992	1.556068323	0.57203	0.628453789	0.421095753	0.170058022	0.051885932	0.274365883	0.388016702	0.338068995	0.268215766	0.184207538	0.128882531	0.087031199	0.065374928
epidermal_differentiation_GO:0008544	59	51	1.474563824	0.61128	0.692358295	0.92996	0.382061618	0.930925054	0.018943407	0.014084303	0.049961516	0.159911975	0.219042944	0.214850606	0.117646729	0.17342827	0.333996386	0.287616347
epidermal_growth_factor_receptor_GO:0005006	4	4	2.510210822	0.22538	1.537930275	0.58206	0.482091172	0.434124794	0.311773529	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
epidermal_growth_factor_receptor_ligand_GO:0005154	16	7	1.247641493	0.72473	1.416075438	0.63493	0.541905796	0.556643115	0.226674145	0.23567052	0.384158582	0.380302248	0.318190003	0.246213824	0.819150366	0.87854219	0.920155117	0.94078607
epigenetic_control_of_gene_expression_GO:0040029	48	32	2.454299285	0.2393	1.773087309	0.48333	0.608293502	0.135494548	0.014217619	0.043743568	0.096812605	0.072197214	0.275577934	0.258756672	0.372411647	0.331386581	0.262334718	0.756191098
epigenetic_control_of_protein_activity_GO:0040030	15	9	2.021962604	0.37605	1.631635005	0.53792	0.564686323	0.305252706	0.223139599	0.269888369	0.28980653	0.38969625	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
epsilon_DNA_polymerase_GO:0003893	11	10	2.167791108	0.32514	2.32271186	0.30678	0.667330437	0.218999628	0.02471047	0.111634926	0.297605113	0.386545575	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
ER_to_Golgi_transport_GO:0006888	31	25	1.38243874	0.65682	0.973387074	0.83223	0.450528352	0.666137906	0.074504462	0.137683277	0.039634088	0.058342207	0.160792292	0.300469703	0.490053132	0.629407391	0.742661915	0.803935468
establishment_and/or_maintenance_of_cell_polarity_GO:0007163	13	9	2.147461924	0.33178	0.800789678	0.89809	0.495273722	0.481711474	0.104526568	0.269888369	0.28980653	0.187290156	0.353574361	0.28761675	0.77374303	0.846615073	0.89852464	0.924512343
estrogen_metabolism_GO:0008210	4	4	1.239865723	0.72873	0.541629759	0.96726	0.305053063	0.746496388	0.188107626	0.407966121	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
eta_DNA_polymerase_GO:0015999	10	9	2.138107445	0.33481	1.802705931	0.47183	0.657254334	0.246537788	0.039540462	0.180828505	0.28980653	0.38969625	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
eukaryotic_translation_elongation_factor_1_GO:0005853	7	6	5.38861134	0.00612	6.825988809	0.00605	0.876899879	0.063837108	0.031733678	0.01162469	0.010256321	0.001575438	0.055472249	0.027174584	0.010523775	0.100282062	0.931162832	0.949028537
eukaryotic_translation_initiation_factor_3_complex_GO:0005852	13	12	3.345583319	0.08887	4.096367484	0.05957	0.709791968	0.126762146	0.104088332	0.009308831	2.30E-04	7.22E-05	0.157685637	0.561753522	0.710288953	0.800873112	0.867019182	0.900620903
eukaryotic_translation_initiation_factor_4_complex_GO:0008304	12	10	2.955372116	0.13765	2.684621075	0.22102	0.720926865	0.124033214	0.003174822	0.111634926	0.065491795	0.209026165	0.124371819	0.304611602	0.751988218	0.831086475	0.887898911	0.916479896
eukaryotic_translation_initiation_factor_4F_complex_GO:0016281	9	8	2.957179525	0.13738	3.26064921	0.13018	0.66745596	0.214711567	0.170058022	0.051885932	0.005607258	0.163150536	0.338068995	0.268215766	0.796124424	0.862431873	0.909276217	0.932614204
excitatory_extracellular_ligand-gated_ion_channel_GO:0005231	48	33	1.197178537	0.74913	0.862327667	0.87868	0.373692144	0.835907025	0.001580242	0.021365402	0.010797615	0.023456485	0.089483784	0.204340928	0.389870498	0.542575852	0.675089476	0.749602792
excretion_GO:0007588	41	34	1.528337334	0.58563	1.047948706	0.79994	0.428428525	0.744118806	0.076030627	0.131043984	0.076456038	0.219460488	0.269333039	0.327074078	0.373781204	0.532595031	0.667082848	0.743071096
exo-alpha-sialidase_GO:0004308	12	11	1.370346012	0.66222	0.595139098	0.95671	0.356504087	0.80250531	0.101039767	0.18882821	0.274828401	0.379580663	0.373477846	0.319382654	0.73084252	0.815840862	0.877397572	0.908516276
exocytosis_GO:0006887	32	23	2.475010254	0.23439	1.465129745	0.61172	0.535702836	0.387072976	0.117857269	0.159418079	0.177302335	0.061920899	0.14359194	0.203179306	0.34580585	0.281156603	0.209679193	0.165178928
exonuclease_GO:0004527	30	22	1.876402923	0.43227	1.78128782	0.4786	0.563578131	0.291658158	0.052686747	0.150390528	0.144084521	0.217638392	0.20028329	0.347176175	0.533905133	0.665414684	0.769691946	0.825296165
exopeptidase_GO:0008238	46	41	1.488164482	0.60457	0.932725628	0.85216	0.451049623	0.761118839	0.054904064	0.094206913	0.162540116	0.112647163	0.155330156	0.281623039	0.310098728	0.467655509	0.6136082	0.698894523
exotoxin_GO:0019845	8	8	0.932039121	0.86887	0.641295534	0.94507	0.353206443	0.780951131	0.159454481	0.186122157	0.207232651	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
external_protective_structure_organization_and_biogenesis_GO:0045229	4	4	3.043067296	0.12457	4.345823458	0.0497	0.557585625	0.434733605	0.363346095	0.273412745	0.129025391	0.05500358	0.226278927	0.162449802	0.892282934	0.928688831	0.953570762	0.965727687
extracellular_ligand-gated_ion_channel_GO:0005230	71	55	1.102718965	0.79431	0.798594682	0.89913	0.349353013	0.955080097	2.41E-06	0.001057448	0.00531258	0.012684824	0.017802929	0.070635488	0.207624643	0.360444836	0.51906406	0.618167398
"extracellular_matrix_constituent,_adhesive_GO:0030022"	5	4	3.312810116	0.09187	4.260642568	0.05266	0.538320068	0.40035892	0.363346095	0.273412745	0.395968463	0.305396706	0.226278927	0.162449802	0.103177133	0.928688831	0.953570762	0.965727687
extracellular_matrix_glycoprotein_GO:0005207	22	18	1.906514844	0.42012	1.773912271	0.48333	0.560434619	0.351984018	0.035664187	0.090050042	0.243301501	0.28053189	0.268387063	0.420900367	0.598509034	0.716626207	0.807252109	0.854649863
extracellular_matrix_organization_and_biogenesis_GO:0030198	11	7	2.193133559	0.31648	0.489099524	0.97609	0.423814694	0.574791472	0.228008245	0.235337624	0.250464626	0.380302248	0.318190003	0.246213824	0.819150366	0.87854219	0.920155117	0.94078607
extracellular_matrix_structural_constituent_conferring_tensile_strength_GO:0030020	25	15	1.189403894	0.75295	0.679038531	0.93391	0.379801151	0.770824779	0.153693547	0.082164593	0.170543129	0.328686901	0.334239222	0.486266315	0.652018197	0.757587172	0.836607538	0.877338514
extracellular_matrix_structural_constituent_GO:0005201	79	61	1.927765757	0.41211	1.439698024	0.6262	0.512317477	0.445930147	0.094484454	0.110045342	0.119692364	0.126606669	0.173190669	0.229817553	0.310422884	0.322339461	0.4831017	0.586452738
extrinsic_membrane_protein_GO:0019898	4	4	2.052401018	0.36459	2.704951064	0.21777	0.619633382	0.366552473	0.311773529	0.273412745	0.395968463	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
eye_morphogenesis_(sensu_Drosophila)_GO:0007456	6	5	0.759592951	0.93103	0.776711261	0.90565	0.312000965	0.778905213	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
eye_morphogenesis_GO:0001654	9	8	1.034451704	0.82437	0.776711261	0.90565	0.326465975	0.808887455	0.159454481	0.186122157	0.360648127	0.388016702	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
eye_pigment_biosynthesis_GO:0006726	10	8	6.812725674	6.60E-04	8.490797478	0.00167	0.84175917	0.052575635	0.062483694	0.001474195	6.07E-04	5.61E-04	7.67E-05	1.07E-05	3.80E-05	7.06E-06	0.003606823	0.00197684
facit_collagen_GO:0005593	7	6	1.774515651	0.47451	1.239913923	0.70906	0.490952955	0.540000664	0.298042945	0.32660975	0.400840106	0.365128917	0.293365414	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
F-actin_capping_GO:0003782	7	7	2.971741504	0.13536	2.53768872	0.2538	0.69550006	0.221067871	0.226674145	0.105082705	0.090646792	0.380302248	0.318190003	0.246213824	0.165822794	0.114864695	0.920155117	0.94078607
fat-soluble_vitamin_metabolism_GO:0006775	11	11	2.515061035	0.22444	1.601132114	0.55258	0.568749657	0.384067663	0.234667849	0.141506183	0.084570704	0.0196934	0.141332977	0.319382654	0.23260268	0.815840862	0.877397572	0.908516276
fatty_acid_beta-oxidation_GO:0006635	10	7	3.152975984	0.10999	2.489234146	0.26365	0.625234821	0.257689299	0.226674145	0.105082705	0.250464626	0.137044466	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.94078607
fatty_acid_biosynthesis_GO:0006633	20	15	2.736302662	0.1769	1.858258078	0.45104	0.549152679	0.319238039	0.152972781	0.210082709	0.259751076	0.276669632	0.201611772	0.359478518	0.283116362	0.212459871	0.150270415	0.115411156
fatty_acid_metabolism_GO:0006631	74	59	3.268033834	0.09661	1.932794448	0.4263	0.585018406	0.108001532	0.080922051	0.002966213	0.006799352	2.02E-05	3.38E-05	0.004354488	0.004744447	6.01E-04	5.80E-05	0.012745711
fatty_acid_oxidation_GO:0019395	11	8	2.810850696	0.16214	2.489234146	0.26365	0.568864624	0.340322757	0.264348341	0.145307994	0.274365883	0.163150536	0.338068995	0.268215766	0.184207538	0.128882531	0.087031199	0.932614204
fatty-acid_ligase_GO:0015645	6	5	4.74854085	0.01535	2.968269267	0.17065	0.747871186	0.191211611	0.219298011	0.140685123	0.176686362	0.081855304	0.039773461	0.019003414	0.125362954	0.08511861	0.056349454	0.957342207
fatty-acid_synthase_GO:0004312	5	4	4.018845489	0.04047	5.806875402	0.01499	0.544169079	0.446971196	0.363346095	0.273412745	0.129025391	0.05500358	0.025665489	0.162449802	0.103177133	0.069357918	0.045613147	0.965727687
Fe2S2_electron_transfer_carrier_GO:0009492	6	4	6.749034996	7.80E-04	10.20551195	4.20E-04	0.655873131	0.319056454	0.363346095	0.273412745	0.129025391	0.05500358	0.025665489	0.011960251	0.004454242	0.001929448	8.10E-04	4.38E-04
Fe3S4/Fe4S4_electron_transfer_carrier_GO:0009497	4	4	2.501027853	0.22785	1.897576243	0.43852	0.710293054	0.267249299	0.100271249	0.407966121	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
feeding_behavior_GO:0007631	17	14	0.890815681	0.88564	0.692321297	0.92996	0.309104081	0.862166789	0.007203259	0.005650851	0.063580382	0.203908983	0.3595959	0.510231549	0.670892621	0.771751163	0.846625565	0.885032591
female_meiosis_chromosome_segregation_GO:0016321	4	4	1.97063648	0.39503	2.546910336	0.25046	0.666184274	0.320762765	0.100271249	0.273412745	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
female_meiotic_recombination_GO:0007145	5	4	2.124330546	0.33943	3.215488263	0.13507	0.628708394	0.360655965	0.311773529	0.273412745	0.129025391	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
fertilization_(sensu_Animalia)_GO:0007338	13	13	0.925126855	0.87201	0.665044486	0.93785	0.349613202	0.844761301	0.04178775	0.127861944	0.077423744	0.228456391	0.38687269	0.535374705	0.690311004	0.786178192	0.856762316	0.892793198
fertilization_GO:0009566	13	13	0.925126855	0.87201	0.665044486	0.93785	0.349613202	0.844761301	0.04178775	0.127861944	0.077423744	0.228456391	0.38687269	0.535374705	0.690311004	0.786178192	0.856762316	0.892793198
FGF_receptor_signaling_pathway_GO:0008543	14	10	2.251098046	0.29737	2.316478201	0.30799	0.643519189	0.216370129	0.02471047	0.111634926	0.304173875	0.321267148	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
fibrillar_collagen_GO:0005583	12	6	1.537926099	0.58199	1.773912271	0.48333	0.408866104	0.597698424	0.298042945	0.29230361	0.400840106	0.365128917	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
fibroblast_growth_factor_receptor_GO:0005007	14	7	3.013225249	0.12914	3.552338269	0.09763	0.583475518	0.202952653	0.226674145	0.105082705	0.384158582	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
fibroblast_growth_factor_receptor_ligand_GO:0005162	9	4	2.356271292	0.26577	2.128380022	0.35905	0.692233478	0.261245774	0.100271249	0.273412745	0.395968463	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
filopodium_GO:0030175	10	8	1.534856364	0.58293	1.769304878	0.48542	0.490362572	0.543041883	0.264348341	0.291254532	0.360648127	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
FK506_binding_GO:0005528	8	6	1.719080497	0.49954	1.202532328	0.72548	0.487856856	0.492032292	0.298042945	0.29230361	0.400840106	0.365128917	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
flavin-containing_electron_transporter_GO:0015933	64	60	2.007645422	0.38148	1.294588001	0.68247	0.503763963	0.516944802	0.092789355	0.100357315	0.117018048	0.123195638	0.118526378	0.160622073	0.149842911	0.370440381	0.353218544	0.313021319
flavodoxin_GO:0009457	5	5	0.517218576	0.9831	0.4506047	0.98117	0.219177421	0.863585103	0.015948497	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
fluid_secretion_GO:0007589	8	6	0.60013749	0.96975	0.735505894	0.91713	0.200321673	0.85391985	0.006967248	0.10893881	0.307193464	0.506052269	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
fluid_transport_GO:0042044	8	6	1.837483229	0.44857	0.654128342	0.94083	0.347647768	0.740218977	0.173576328	0.32660975	0.400840106	0.365128917	0.293365414	0.221402821	0.146226035	0.894951432	0.931162832	0.949028537
focal_adhesion_GO:0005925	6	4	2.870440519	0.15105	1.954476744	0.41756	0.444886638	0.196121252	0.363346095	0.407966121	0.395968463	0.305396706	0.226278927	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
focal_adhesion_kinase_GO:0004717	23	17	1.811953571	0.45966	1.172997318	0.74388	0.633985349	0.579269783	0.099767298	0.07234588	0.105956565	0.022443999	0.085325665	0.145573157	0.303137319	0.232086096	0.16633981	0.128565886
folate_binding_GO:0005542	5	5	3.267525817	0.09683	1.10308425	0.7737	0.577759016	0.41076615	0.219298011	0.315002784	0.176686362	0.340818231	0.262961928	0.193560545	0.125362954	0.08511861	0.056349454	0.041927396
folic_acid_and_derivative_biosynthesis_GO:0009396	5	4	2.449407912	0.24058	3.699689357	0.08571	0.639109986	0.342474815	0.311773529	0.273412745	0.129025391	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
folic_acid_and_derivative_metabolism_GO:0006760	6	5	2.389201961	0.257	2.148378158	0.35456	0.654902907	0.305812917	0.219298011	0.140685123	0.176686362	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
frizzled_receptor_GO:0004928	8	8	2.408815671	0.25148	2.151607397	0.3538	0.571896115	0.425218885	0.170058022	0.145307994	0.274365883	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
frizzled_receptor_signaling_pathway_GO:0007222	9	8	1.907729466	0.42012	2.151607397	0.3538	0.550841578	0.398619292	0.264348341	0.145307994	0.274365883	0.388016702	0.338068995	0.268215766	0.184207538	0.128882531	0.909276217	0.932614204
frizzled-2_receptor_signaling_pathway_GO:0007223	11	6	1.676507604	0.5188	1.187010233	0.73466	0.403377563	0.648833895	0.173576328	0.29230361	0.400840106	0.365128917	0.293365414	0.221402821	0.842839337	0.894951432	0.931162832	0.949028537
fructose_6-phosphate_metabolism_GO:0006002	5	5	4.334426467	0.02711	3.939185105	0.06812	0.896659028	0.075056418	0.056411647	0.002801427	1.80E-04	0.081855304	0.262961928	0.193560545	0.867210343	0.911665109	0.942300871	0.957342207
fructose_metabolism_GO:0006000	12	12	2.701023936	0.18438	2.769000385	0.20488	0.671877515	0.183462082	0.104088332	0.009308831	0.036184216	0.244379391	0.378760262	0.332100486	0.710288953	0.800873112	0.867019182	0.900620903
"fructose-2,6-bisphosphatase_GO:0004331"	4	4	1.231881079	0.73255	1.387237329	0.64692	0.433912205	0.610854632	0.363346095	0.407966121	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
fucosyltransferase_GO:0008417	11	9	1.013268569	0.83409	1.047555363	0.79994	0.413137042	0.710477318	0.201982731	0.035930044	0.170201816	0.359921705	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
G1/S_transition_of_mitotic_cell_cycle_GO:0000082	8	5	2.587199696	0.20805	2.326036563	0.30604	0.646411772	0.234653998	0.219298011	0.315002784	0.406617398	0.340818231	0.262961928	0.193560545	0.125362954	0.911665109	0.942300871	0.957342207
G1_phase_of_mitotic_cell_cycle_GO:0000080	22	16	2.905548289	0.1452	1.935424842	0.42571	0.611941425	0.301088779	0.125184738	0.006849729	0.17470237	0.158230573	0.075570938	0.365477786	0.633672558	0.743681454	0.826706857	0.869710404
G2/M_transition_of_mitotic_cell_cycle_GO:0000086	8	7	3.232222112	0.1006	2.405672875	0.28468	0.621943023	0.31964098	0.226674145	0.105082705	0.250464626	0.380302248	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.057697272
GABA_receptor_GO:0016917	40	38	1.006257591	0.83683	0.740763402	0.91546	0.350097513	0.94723782	1.27E-04	0.002324219	0.018714185	0.060883122	0.062021023	0.160552722	0.337904581	0.494463059	0.635985492	0.717500883
GABA-A_receptor_GO:0004890	38	36	1.022884439	0.82985	0.740763402	0.91546	0.352518832	0.938507674	3.60E-04	0.003892367	0.024885147	0.072431826	0.071817964	0.176815585	0.357807282	0.513177317	0.651350505	0.730175621
galactose_binding_GO:0005534	8	7	2.268484391	0.29177	0.867725898	0.87711	0.450252486	0.605756551	0.228008245	0.23567052	0.384158582	0.380302248	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.057697272
galactose_binding_lectin_GO:0005531	8	7	2.268484391	0.29177	0.867725898	0.87711	0.450252486	0.605756551	0.228008245	0.23567052	0.384158582	0.380302248	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.057697272
galactose_metabolism_GO:0006012	5	4	1.331330139	0.68258	1.605709633	0.55143	0.448293536	0.506107617	0.363346095	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
galactosyltransferase_GO:0008378	13	11	1.603151858	0.55171	0.868909354	0.8765	0.451462117	0.620325216	0.101039767	0.253265918	0.298814306	0.379580663	0.447778078	0.589428563	0.73084252	0.815840862	0.877397572	0.908516276
gametogenesis_GO:0007276	104	86	1.31757333	0.68997	1.010041741	0.81634	0.422711951	0.91540334	0.032715375	0.007032943	0.011708763	0.025198734	0.038838524	0.015733217	0.085198661	0.202180722	0.35798551	0.470704138
gamma_DNA-directed_DNA_polymerase_GO:0003895	10	9	2.138107445	0.33481	1.802705931	0.47183	0.657254334	0.246537788	0.039540462	0.180828505	0.28980653	0.38969625	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
gamma-amino_butyric_acid_signaling_pathway_GO:0007214	24	23	0.94162873	0.86548	0.677938734	0.93451	0.310034213	0.938809793	1.30E-04	0.010258212	0.129598452	0.203083971	0.186146785	0.330853776	0.518870096	0.653190483	0.760575459	0.818114472
gap_junction_GO:0005921	5	4	1.115922506	0.78889	0.619673143	0.95016	0.336318138	0.718672211	0.188107626	0.407966121	0.395968463	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
gas_transport_GO:0015669	6	5	1.533611404	0.58376	0.721754821	0.92153	0.43813774	0.610022669	0.264739024	0.315002784	0.406617398	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
GDP-dissociation_inhibitor_GO:0005092	6	5	2.699889719	0.18473	2.535518799	0.25418	0.737884453	0.197821409	0.056411647	0.140685123	0.176686362	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
general_regulation_of_protein_biosynthesis_GO:0006417	8	6	2.154950799	0.32936	2.18733112	0.34486	0.632147165	0.237912217	0.148067816	0.065133259	0.307193464	0.506052269	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
general_RNA_polymerase_II_transcription_factor_GO:0016251	34	28	2.172869864	0.3232	1.539152502	0.58002	0.567968588	0.285085764	0.136764594	0.134373653	0.161423201	0.102703831	0.281241099	0.238887663	0.365159471	0.312153726	0.716571776	0.783120157
germ-cell_development_GO:0007281	9	4	2.540525008	0.21851	2.03366107	0.39534	0.535606609	0.419525439	0.363346095	0.407966121	0.395968463	0.305396706	0.226278927	0.162449802	0.892282934	0.928688831	0.953570762	0.965727687
germ-cell_migration_GO:0008354	5	4	2.098852096	0.34823	2.331843966	0.30433	0.627864206	0.276418007	0.311773529	0.273412745	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
globin_GO:0001524	5	4	1.805313281	0.46207	2.1156328	0.36471	0.500241196	0.518317125	0.363346095	0.273412745	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
gluconeogenesis_GO:0006094	7	7	4.005023876	0.04109	2.603488736	0.2373	0.741585233	0.163006821	0.097187738	0.105082705	0.090646792	0.137044466	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.057697272
glucose_catabolism_GO:0006007	34	30	3.067997432	0.12146	2.390291963	0.2883	0.688809581	0.046456262	0.004183159	6.59E-04	0.002591805	2.50E-05	0.012419265	0.009614113	0.36959254	0.573646842	0.699684487	0.769539479
glucose_metabolism_GO:0006006	57	48	2.900511998	0.14593	2.390291963	0.2883	0.653754446	0.040758797	0.0034393	1.53E-04	0.001771956	2.61E-04	0.012113748	0.01715351	0.240774424	0.369970703	0.325707671	0.65730998
glucose_transport_GO:0015758	8	7	1.098056745	0.79589	0.733293803	0.91751	0.417748134	0.676587692	0.228008245	0.23567052	0.252313667	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
glucose_transporter_GO:0005355	8	7	0.885216857	0.88813	0.683359009	0.93306	0.345225169	0.777993474	0.106201912	0.23567052	0.252313667	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
glucosidase_GO:0015926	8	6	1.387162731	0.65512	1.504981991	0.59382	0.495154805	0.540612953	0.287724492	0.29230361	0.307193464	0.506052269	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
glucuronosyltransferase_GO:0015020	12	9	0.678472881	0.95255	0.211423626	0.99863	0.194414277	0.913964331	0.006738424	0.14468651	0.170201816	0.359921705	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
glutamate_channel_GO:0015259	30	16	1.267789616	0.71493	0.862327667	0.87868	0.334005133	0.751794403	0.002112197	0.064873275	0.149400806	0.162436457	0.310667708	0.463423953	0.633672558	0.743681454	0.826706857	0.869710404
glutamate_metabolism_GO:0006536	8	5	2.159125102	0.32782	1.304283203	0.67894	0.518007478	0.482993208	0.3408378	0.315002784	0.176686362	0.081855304	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
glutamate_receptor_GO:0008066	44	27	1.231800458	0.73255	0.862327667	0.87868	0.343343949	0.821008716	2.63E-04	0.032497792	0.028855765	0.04646125	0.138886156	0.27286945	0.462830114	0.606484766	0.725166077	0.789998851
glutamate_signaling_pathway_GO:0007215	23	14	1.669246484	0.52232	1.111007437	0.76928	0.463811364	0.54913948	0.065897814	0.202609025	0.274059085	0.343663725	0.3595959	0.510231549	0.670892621	0.771751163	0.846625565	0.885032591
glutamate_transport_GO:0015813	6	4	0.508864056	0.98406	0.73438062	0.91713	0.216986252	0.837276843	0.036501501	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
glutamate_transporter_GO:0005313	8	6	0.515143544	0.98332	0.723040077	0.92084	0.221009248	0.883240082	0.006967248	0.10893881	0.307193464	0.506052269	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
glutamate-ammonia_ligase_GO:0004356	4	4	0.929001903	0.8705	1.485019099	0.60275	0.342981187	0.714464383	0.363346095	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
glutamate-gated_ion_channel_GO:0005234	30	16	1.267789616	0.71493	0.862327667	0.87868	0.334005133	0.751794403	0.002112197	0.064873275	0.149400806	0.162436457	0.310667708	0.463423953	0.633672558	0.743681454	0.826706857	0.869710404
glutamine_amidotransferase_GO:0016003	9	7	2.521436567	0.22294	1.917534905	0.43198	0.676628234	0.230761926	0.226674145	0.235337624	0.090646792	0.380302248	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
glutamine_family_amino_acid_biosynthesis_GO:0009084	12	8	3.166857106	0.10823	3.791096495	0.07804	0.563058036	0.337594323	0.264348341	0.260293804	0.119173903	0.039150838	0.089518529	0.046100115	0.018564791	0.862431873	0.909276217	0.932614204
