class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6
cyclic-nucleotide-mediated signaling(GO:0019935)	59	48	0.661094408	0.37734	0.432436101	0.77592	0.482210983	0.348814978	0.856254292	0.946138171	0.983533781
cyclin-dependent protein kinase holoenzyme(GO:0000307)	10	7	0.992020809	0.18098	0.597578689	0.62611	0.605519667	0.905082213	0.977674912	0.991977119	0.997587317
"cyclin-dependent protein kinase holoenzyme, nuclear(GO:0019908)"	10	7	0.992020809	0.18098	0.597578689	0.62611	0.605519667	0.905082213	0.977674912	0.991977119	0.997587317
cyclin-dependent protein kinase inhibitor(GO:0004861)	8	7	1.218925496	0.11032	1.16879657	0.27468	0.666189983	0.090941275	0.977674912	0.991977119	0.997587317
cyclin-dependent protein kinase(GO:0004693)	53	45	0.780832419	0.28855	0.55322339	0.66075	0.551862552	0.525958111	0.864621539	0.949426415	0.984557584
"cyclin-dependent protein kinase, regulator(GO:0016538)"	44	37	0.842130135	0.25256	0.597578689	0.62611	0.569009259	0.589748032	0.887321466	0.958245409	0.987291199
cyclophilin(GO:0004600)	20	16	1.109132864	0.14175	0.892820568	0.40972	0.691941661	0.183020985	0.949676591	0.981747125	0.994491003
cysteine metabolism(GO:0006534)	4	4	1.395384876	0.0746	1.948492466	0.09926	0.75152404	0.94461449	0.98718332	0.995408376	0.998620848
cysteine protease inhibitor(GO:0004869)	15	13	0.679899678	0.36856	0.330859849	0.8687	0.432584917	0.155152234	0.958922335	0.985146523	0.995522395
cysteine-type endopeptidase(GO:0004197)	113	75	0.746399674	0.3159	0.50594007	0.70846	0.518767637	0.342062478	0.784380904	0.917001975	0.974351471
cysteine-type peptidase(GO:0008234)	123	83	0.750288021	0.30872	0.501867337	0.70846	0.516731115	0.304908362	0.764226996	0.9085255	0.971641805
cytochrome b5 reductase(GO:0004128)	7	4	0.834307536	0.25852	0.764674355	0.48635	0.515873016	0.94461449	0.98718332	0.995408376	0.998620848
cytochrome c oxidase(GO:0004129)	26	19	0.624731815	0.41264	0.452462191	0.75799	0.515363764	0.762705954	0.940516839	0.978358287	0.993460324
cytochrome P450(GO:0005490)	14	10	0.588624928	0.4515	0.564947574	0.65095	0.539145948	0.867191477	0.968254847	0.988556511	0.996554499
cytochrome P450(GO:0015034)	26	19	0.687811633	0.36029	0.564947574	0.65095	0.577073517	0.762705954	0.940516839	0.978358287	0.993460324
cytokine and chemokine mediated signaling pathway(GO:0019221)	9	7	1.069991224	0.15507	0.844639667	0.43654	0.63357825	0.905082213	0.977674912	0.991977119	0.997587317
cytokine binding(GO:0019955)	45	39	0.631619746	0.40373	0.366643667	0.84094	0.460128931	0.322037494	0.881593197	0.956033776	0.986607322
cytokine biosynthesis(GO:0042089)	10	4	0.377524748	0.70393	0.314932164	0.88553	0.326345756	0.94461449	0.98718332	0.995408376	0.998620848
cytokine metabolism(GO:0042107)	10	4	0.377524748	0.70393	0.314932164	0.88553	0.326345756	0.94461449	0.98718332	0.995408376	0.998620848
cytokinesis(GO:0007104)	57	43	0.679354237	0.36856	0.548086671	0.67003	0.523501673	0.541233078	0.870243446	0.951624288	0.985240514
cytokinesis(GO:0016288)	95	70	0.776745741	0.29527	0.543569131	0.67003	0.516373601	0.367529168	0.797236323	0.922335848	0.976047568
cytolysis(GO:0019835)	12	10	0.424356294	0.63742	0.264721351	0.9248	0.365366022	0.867191477	0.968254847	0.988556511	0.996554499
cytoplasmic dynein(GO:0005868)	11	9	0.612706524	0.42269	0.359951632	0.84964	0.453945602	0.879643561	0.971385102	0.989695533	0.996898693
cytoplasmic microtubule(GO:0005881)	11	9	0.612706524	0.42269	0.359951632	0.84964	0.453945602	0.879643561	0.971385102	0.989695533	0.996898693
cytoplasmic transport(GO:0016482)	66	49	0.666771679	0.37734	0.409401117	0.80514	0.480930909	0.496679372	0.853482602	0.94504437	0.983192671
cytoplasmic vesicle(GO:0016023)	126	99	0.658052165	0.3857	0.418822045	0.7954	0.483254454	0.347900451	0.725406635	0.89178378	0.966237552
cytoskeletal adaptor(GO:0008093)	5	5	0.345108618	0.74443	0.164373468	0.97602	0.302381226	0.931250379	0.984003986	0.994263439	0.998276259
cytoskeletal anchor protein(GO:0016343)	8	5	0.676235039	0.36856	0.373452289	0.83153	0.487196595	0.931250379	0.984003986	0.994263439	0.998276259
cytoskeletal anchoring(GO:0007016)	14	10	1.011453896	0.17304	0.433408146	0.77592	0.521362799	0.12452084	0.968254847	0.988556511	0.996554499
cytoskeletal regulatory protein binding(GO:0005519)	13	7	0.902243804	0.22083	0.359089748	0.84964	0.457714877	0.905082213	0.977674912	0.991977119	0.997587317
cytosolic calcium ion concentration elevation(GO:0007204)	11	10	0.460099994	0.5868	0.275969207	0.91678	0.33214779	0.867191477	0.968254847	0.988556511	0.996554499
cytosolic large ribosomal subunit (sensu Eukarya)(GO:0005842)	65	46	0.553540827	0.48229	0.318607238	0.88553	0.403098555	0.343912052	0.861823734	0.948329193	0.984216238
cytosolic phospholipase A2(GO:0004626)	10	8	0.895539008	0.22568	0.437789243	0.77592	0.435572497	0.102473927	0.974525114	0.990835735	0.997242965
cytosolic ribosome (sensu Eukarya)(GO:0005830)	125	86	0.602787785	0.43212	0.398809467	0.81458	0.439258633	0.363853979	0.756798783	0.905365048	0.970626976
cytosolic small ribosomal subunit (sensu Eukarya)(GO:0005843)	51	34	0.610155908	0.42269	0.442784029	0.76633	0.449031829	0.615598895	0.895981217	0.961571492	0.988317608
damaged DNA binding(GO:0003684)	8	5	0.650286328	0.3857	0.178652885	0.97209	0.443000115	0.931250379	0.984003986	0.994263439	0.998276259
'de novo' pyrimidine biosynthesis(GO:0006207)	8	5	0.879014674	0.23621	0.652966773	0.57017	0.549545611	0.931250379	0.984003986	0.994263439	0.998276259
deactivation of rhodopsin mediated signaling(GO:0016059)	6	4	0.625692149	0.41264	0.61401143	0.60711	0.516994479	0.94461449	0.98718332	0.995408376	0.998620848
deaminase(GO:0019239)	10	6	0.458499392	0.59923	0.40781158	0.80514	0.341520939	0.918073823	0.980834526	0.993119687	0.997931748
death receptor adaptor protein(GO:0005037)	6	4	0.69887088	0.35255	0.372233835	0.83153	0.437916954	0.94461449	0.98718332	0.995408376	0.998620848
death receptor(GO:0005035)	16	12	0.582462488	0.4515	0.372233835	0.83153	0.466238775	0.842809444	0.962023493	0.986282008	0.99586635
degradation of cyclin(GO:0008054)	4	4	1.164138195	0.12356	0.946752484	0.37913	0.666436623	0.94461449	0.98718332	0.995408376	0.998620848
delayed rectifier potassium channel(GO:0005251)	4	4	0.285960311	0.82291	0.218786216	0.95507	0.290919025	0.94461449	0.98718332	0.995408376	0.998620848
delta DNA polymerase complex(GO:0005659)	5	5	0.613432327	0.42269	0.340120864	0.8605	0.497779823	0.931250379	0.984003986	0.994263439	0.998276259
delta DNA polymerase(GO:0003891)	14	12	0.448793586	0.61154	0.404919533	0.80514	0.420581012	0.842809444	0.962023493	0.986282008	0.99586635
deoxycytidyl transferase(GO:0017125)	13	11	0.44657146	0.61154	0.340120864	0.8605	0.411858891	0.85491425	0.965134321	0.98741867	0.996210385
"deoxycytidyl transferase, template dependent(GO:0019986)"	13	11	0.44657146	0.61154	0.340120864	0.8605	0.411858891	0.85491425	0.965134321	0.98741867	0.996210385
deoxynucleoside kinase(GO:0019136)	6	4	1.028916909	0.16955	0.723899684	0.51348	0.62341845	0.94461449	0.98718332	0.995408376	0.998620848
deoxyribonuclease(GO:0004536)	12	11	0.595263332	0.4412	0.450361709	0.75799	0.527287378	0.85491425	0.965134321	0.98741867	0.996210385
dephosphorylation(GO:0016311)	136	95	0.718476002	0.33733	0.510824096	0.69716	0.522189934	0.105661365	0.734929516	0.89594297	0.967586732
determination of left/right asymmetry(GO:0007368)	5	5	0.598904487	0.4412	0.558584536	0.66075	0.548993443	0.931250379	0.984003986	0.994263439	0.998276259
detoxification response(GO:0009636)	34	24	0.720034395	0.33041	0.444920068	0.76633	0.502478672	0.710158645	0.925439588	0.972733613	0.991744108
deubiquitination(GO:0006514)	11	8	0.75890715	0.30872	0.469150627	0.74743	0.452531646	0.892272972	0.974525114	0.990835735	0.997242965
"di-, tri-valent inorganic cation homeostasis(GO:0030005)"	39	27	0.733011424	0.32322	0.638932605	0.58591	0.533720319	0.680370826	0.916505398	0.969372795	0.990715328
"di-, tri-valent inorganic cation transport(GO:0015674)"	75	54	0.688412659	0.36029	0.617431879	0.60711	0.551437949	0.462344858	0.839753419	0.939592415	0.981488304
"di-, tri-valent inorganic cation transporter(GO:0015082)"	37	21	0.729890895	0.33041	0.638932605	0.58591	0.543352157	0.741239564	0.93445773	0.976104915	0.9927736
dicarboxylic acid transport(GO:0006835)	7	6	0.908902584	0.22083	0.766055066	0.48635	0.511313085	0.918073823	0.980834526	0.993119687	0.997931748
dicarboxylic acid transporter(GO:0005310)	7	6	0.908902584	0.22083	0.766055066	0.48635	0.511313085	0.918073823	0.980834526	0.993119687	0.997931748
digestion(GO:0007586)	30	23	0.692644799	0.35255	0.34371489	0.8605	0.45045483	0.238271251	0.92843627	0.973856214	0.992087193
dihydropyrimidinase(GO:0004157)	4	4	0.402318017	0.6643	0.72372896	0.51348	0.380147228	0.94461449	0.98718332	0.995408376	0.998620848
dipeptidase(GO:0016805)	10	6	0.626883301	0.41264	0.710904033	0.52133	0.521494861	0.918073823	0.980834526	0.993119687	0.997931748
dipeptidyl-peptidase and tripeptidyl-peptidase(GO:0016806)	7	5	0.531388451	0.50472	0.576151067	0.6429	0.46672035	0.931250379	0.984003986	0.994263439	0.998276259
dipeptidyl-peptidase(GO:0008239)	12	8	0.713577228	0.33733	0.619025794	0.60711	0.558012083	0.892272972	0.974525114	0.990835735	0.997242965
diphosphoinositol polyphosphate phosphohydrolase(GO:0008486)	5	4	0.406942519	0.6643	0.44441951	0.76633	0.444013112	0.94461449	0.98718332	0.995408376	0.998620848
diphosphotransferase(GO:0016778)	12	9	0.833445682	0.25852	0.8313081	0.44317	0.647101699	0.879643561	0.971385102	0.989695533	0.996898693
disulfide oxidoreductase(GO:0015036)	25	18	0.742738844	0.3159	0.453674538	0.75799	0.536450333	0.773669239	0.943560583	0.979486728	0.993803804
DNA (cytosine-5-)-methyltransferase(GO:0003886)	5	4	0.450268627	0.59923	0.490810924	0.71782	0.47020934	0.94461449	0.98718332	0.995408376	0.998620848
DNA alkylation(GO:0006305)	36	32	0.60130909	0.43212	0.442692547	0.76633	0.497785887	0.633454039	0.901799599	0.963794649	0.989002276
DNA damage checkpoint(GO:0000077)	10	7	1.165972227	0.12356	0.561702159	0.65095	0.59476963	0.090941275	0.977674912	0.991977119	0.997587317
DNA damage response(GO:0006974)	37	27	0.682544948	0.36029	0.394496711	0.81458	0.458744986	0.264301265	0.916505398	0.969372795	0.990715328
DNA degradation(GO:0006308)	6	6	0.578839299	0.46239	0.450361709	0.75799	0.514591962	0.918073823	0.980834526	0.993119687	0.997931748
DNA dependent adenosinetriphosphatase(GO:0008094)	32	23	0.543081522	0.49338	0.298135967	0.90215	0.390091467	0.720372573	0.92843627	0.973856214	0.992087193
DNA dependent DNA replication(GO:0006261)	60	46	0.670515143	0.36856	0.425822834	0.78572	0.478667913	0.343912052	0.861823734	0.948329193	0.984216238
DNA helicase(GO:0003678)	56	45	0.60434739	0.43212	0.364909508	0.84094	0.425643001	0.341246998	0.864621539	0.949426415	0.984557584
DNA integration(GO:0015074)	7	4	1.508869999	0.05874	1.146767353	0.28298	0.692546584	0.94461449	0.98718332	0.995408376	0.998620848
DNA ligase (ATP)(GO:0003910)	7	5	1.023215349	0.16955	0.468037242	0.74743	0.532888531	0.066820556	0.984003986	0.994263439	0.998276259
DNA ligase(GO:0003909)	7	5	1.023215349	0.16955	0.468037242	0.74743	0.532888531	0.066820556	0.984003986	0.994263439	0.998276259
DNA mediated transformation(GO:0009294)	4	4	0.764771974	0.30207	0.511538126	0.69716	0.586726478	0.94461449	0.98718332	0.995408376	0.998620848
DNA methylation(GO:0006306)	35	31	0.610444528	0.42269	0.442692547	0.76633	0.502640717	0.642573286	0.904722436	0.964907962	0.989344728
DNA modification(GO:0006304)	42	36	0.596623598	0.4412	0.442692547	0.76633	0.497024039	0.598243055	0.890199043	0.959352951	0.987633257
DNA packaging(GO:0006323)	100	77	0.620696223	0.41264	0.412209366	0.7954	0.491965406	0.370385345	0.779294907	0.91487621	0.973673583
DNA recombination(GO:0006310)	61	46	0.638154651	0.40373	0.298135967	0.90215	0.396271784	0.343912052	0.861823734	0.948329193	0.984216238
DNA repair enzyme(GO:0003686)	13	10	1.017525664	0.17304	0.53811897	0.67962	0.611268416	0.867191477	0.968254847	0.988556511	0.996554499
DNA repair protein(GO:0003685)	62	46	0.702837178	0.34467	0.403250268	0.80514	0.459707733	0.343912052	0.861823734	0.948329193	0.984216238
DNA replication checkpoint(GO:0000076)	4	4	1.345302683	0.08307	1.199398382	0.2632	0.612433862	0.054217257	0.98718332	0.995408376	0.998620848
DNA replication factor C complex(GO:0005663)	10	8	0.670016415	0.36856	0.570728293	0.6429	0.466153625	0.892272972	0.974525114	0.990835735	0.997242965
DNA replication factor(GO:0003687)	26	17	0.752117711	0.30872	0.471574407	0.73561	0.496080012	0.784788813	0.946613824	0.98061634	0.994147364
DNA replication initiation(GO:0006270)	20	12	0.661057354	0.37734	0.333529804	0.8687	0.415764832	0.842809444	0.962023493	0.986282008	0.99586635
DNA replication origin binding(GO:0003688)	8	4	0.83424358	0.25852	0.918382693	0.39839	0.543622038	0.94461449	0.98718332	0.995408376	0.998620848
DNA replication(GO:0006260)	133	100	0.725325716	0.33041	0.412209366	0.7954	0.478193766	0.11506246	0.23620637	0.103707847	0.033709881
DNA topoisomerase (ATP-hydrolyzing)(GO:0003918)	4	4	0.802699666	0.27595	1.10855231	0.30186	0.551357258	0.94461449	0.98718332	0.995408376	0.998620848
DNA topoisomerase(GO:0003916)	7	7	0.750004371	0.30872	0.859768586	0.43069	0.570261518	0.905082213	0.977674912	0.991977119	0.997587317
DNA topological change(GO:0006265)	8	8	0.623104581	0.41264	0.343070436	0.8605	0.484493671	0.892272972	0.974525114	0.990835735	0.997242965
DNA-directed DNA polymerase(GO:0003887)	26	19	0.542110113	0.49338	0.42562429	0.78572	0.475891596	0.762705954	0.940516839	0.978358287	0.993460324
DNA-directed RNA polymerase I complex(GO:0005736)	9	5	0.173276753	0.94211	0.104661448	0.99287	0.158311285	0.931250379	0.984003986	0.994263439	0.998276259
DNA-directed RNA polymerase I(GO:0003900)	25	18	0.535841537	0.50472	0.339752266	0.8687	0.407232463	0.773669239	0.943560583	0.979486728	0.993803804
DNA-directed RNA polymerase II(GO:0003901)	25	18	0.524633719	0.51567	0.326061682	0.8775	0.393836406	0.773669239	0.943560583	0.979486728	0.993803804
"DNA-directed RNA polymerase II, core(GO:0005665)"	29	27	0.680825635	0.36029	0.478792592	0.73561	0.480704092	0.680370826	0.916505398	0.969372795	0.990715328
"DNA-directed RNA polymerase II, holoenzyme(GO:0016591)"	77	62	0.685654937	0.36029	0.469674772	0.74743	0.464568797	0.161357941	0.164995339	0.930928145	0.978765416
DNA-directed RNA polymerase III complex(GO:0005666)	5	4	0.821360086	0.26413	1.102897677	0.30186	0.603203359	0.94461449	0.98718332	0.995408376	0.998620848
DNA-directed RNA polymerase III(GO:0003902)	25	18	0.57452867	0.46239	0.339752266	0.8687	0.430120328	0.773669239	0.943560583	0.979486728	0.993803804
DNA-directed RNA polymerase(GO:0003899)	42	29	0.557042297	0.48229	0.339752266	0.8687	0.435109646	0.66120422	0.910595539	0.96713806	0.99002987
double-strand break repair(GO:0006302)	12	9	0.249178202	0.87135	0.220262494	0.95003	0.241825552	0.879643561	0.971385102	0.989695533	0.996898693
double-stranded DNA binding(GO:0003690)	23	16	0.592475073	0.4412	0.402040626	0.80514	0.474271481	0.796066886	0.949676591	0.981747125	0.994491003
double-stranded RNA binding(GO:0003725)	18	14	0.828985616	0.26413	0.725092024	0.51348	0.615754754	0.81910752	0.955830818	0.984012215	0.995178518
drug binding(GO:0008144)	9	7	1.136283659	0.13243	0.581592634	0.63408	0.621529661	0.090941275	0.977674912	0.991977119	0.997587317
drug resistance(GO:0009315)	7	6	1.012260644	0.17304	1.177841732	0.27084	0.704440865	0.918073823	0.980834526	0.993119687	0.997931748
drug susceptibility/resistance(GO:0016351)	4	4	0.421866528	0.63742	0.501856302	0.70846	0.43889464	0.94461449	0.98718332	0.995408376	0.998620848
drug transport(GO:0015893)	4	4	0.253469323	0.85969	0.351578509	0.84964	0.269237405	0.94461449	0.98718332	0.995408376	0.998620848
drug transporter(GO:0015238)	6	6	0.582157864	0.4515	0.351578509	0.84964	0.46989569	0.918073823	0.980834526	0.993119687	0.997931748
dynactin complex(GO:0005869)	8	7	1.101664439	0.14175	0.467138653	0.74743	0.564738564	0.905082213	0.977674912	0.991977119	0.997587317
dynamin GTPase(GO:0008549)	7	4	0.724692595	0.33041	0.884242752	0.41541	0.547101449	0.94461449	0.98718332	0.995408376	0.998620848
dynein ATPase(GO:0008567)	12	8	0.77159344	0.29527	0.68790731	0.54359	0.594864787	0.892272972	0.974525114	0.990835735	0.997242965
dynein(GO:0030286)	21	15	0.543085649	0.49338	0.33808041	0.8687	0.440746286	0.807505697	0.952748913	0.982879083	0.994834721
dystroglycan complex(GO:0016011)	6	5	0.830694318	0.25852	0.373452289	0.83153	0.52996664	0.931250379	0.984003986	0.994263439	0.998276259
dystrophin-associated glycoprotein complex(GO:0016010)	12	9	0.823162438	0.26413	0.373452289	0.83153	0.551450749	0.879643561	0.971385102	0.989695533	0.996898693
early endosome(GO:0005769)	21	16	0.619879514	0.42269	0.591772758	0.62611	0.517572276	0.796066886	0.949676591	0.981747125	0.994491003
EGF receptor signaling pathway(GO:0007173)	20	15	0.505069995	0.53843	0.531054818	0.67962	0.474981765	0.807505697	0.952748913	0.982879083	0.994834721
eicosanoid metabolism(GO:0006690)	28	20	0.601547013	0.43212	0.407210553	0.80514	0.468932934	0.751896778	0.937482564	0.977231016	0.993116922
electron carrier(GO:0009055)	25	17	0.653111836	0.3857	0.504387679	0.70846	0.504692466	0.784788813	0.946613824	0.98061634	0.994147364
electron transfer flavoprotein(GO:0008246)	54	39	0.661834834	0.37734	0.375014937	0.83153	0.478748952	0.573115298	0.881593197	0.956033776	0.986607322
embryo implantation(GO:0007566)	8	8	0.849148222	0.25256	0.550035895	0.66075	0.53118527	0.102473927	0.974525114	0.990835735	0.997242965
endocytic vesicle(GO:0030139)	4	4	0.368415607	0.71737	0.418822045	0.7954	0.402547734	0.94461449	0.98718332	0.995408376	0.998620848
endocytosis(GO:0006897)	105	65	0.722973293	0.33041	0.566367754	0.65095	0.544698786	0.394875319	0.81029479	0.927697628	0.977745633
endodeoxyribonuclease(GO:0004520)	7	6	0.697219584	0.35255	0.665558313	0.56241	0.606093726	0.918073823	0.980834526	0.993119687	0.997931748
endoderm development(GO:0007492)	31	25	0.830493331	0.25852	0.460656629	0.74743	0.549106422	0.251756725	0.07468385	0.971612177	0.991401102
endonuclease(GO:0004519)	48	40	0.618449532	0.42269	0.371477226	0.83153	0.478658466	0.564974268	0.878742451	0.954929683	0.986265502
endopeptidase Clp(GO:0008462)	5	4	0.670787824	0.36856	0.41871611	0.7954	0.423452956	0.94461449	0.98718332	0.995408376	0.998620848
endopeptidase inhibitor(GO:0004866)	109	91	0.672664047	0.36856	0.343612365	0.8605	0.442865952	0.030510474	0.744572888	0.90011961	0.968937166
endopeptidase(GO:0004175)	89	68	0.682904038	0.36029	0.448460956	0.76633	0.492774862	0.178596902	0.177593464	0.924477204	0.976726558
endoplasmic reticulum lumen(GO:0005788)	13	10	0.733889458	0.32322	0.593935249	0.62611	0.576427256	0.867191477	0.968254847	0.988556511	0.996554499
endoplasmic reticulum membrane(GO:0005789)	74	51	0.692106145	0.35255	0.413697443	0.7954	0.472375096	0.355152733	0.847965153	0.942860181	0.982510688
"endoplasmic reticulum membrane, integral protein(GO:0030176)"	14	10	0.549529321	0.49338	0.417982115	0.7954	0.43122698	0.867191477	0.968254847	0.988556511	0.996554499
endoplasmic reticulum receptor(GO:0005045)	25	16	0.460548514	0.5868	0.458646698	0.75799	0.436484969	0.796066886	0.949676591	0.981747125	0.994491003
endoribonuclease(GO:0004521)	19	16	0.560548962	0.47259	0.3018133	0.89436	0.415118924	0.796066886	0.949676591	0.981747125	0.994491003
"endoribonuclease, producing 5'-phosphomonoesters(GO:0016891)"	13	10	0.532323234	0.50472	0.251260924	0.93154	0.374010129	0.867191477	0.968254847	0.988556511	0.996554499
"endoribonuclease, producing other than 5'-phosphomonoesters(GO:0016892)"	5	5	0.501566665	0.53843	0.3018133	0.89436	0.411204417	0.931250379	0.984003986	0.994263439	0.998276259
endosome organization and biogenesis(GO:0007032)	15	12	0.617681997	0.42269	0.557161342	0.66075	0.51324929	0.842809444	0.962023493	0.986282008	0.99586635
endosome transport(GO:0016197)	15	12	0.617681997	0.42269	0.557161342	0.66075	0.51324929	0.842809444	0.962023493	0.986282008	0.99586635
endosome(GO:0005768)	52	39	0.643161195	0.39468	0.546276609	0.67003	0.521653771	0.573115298	0.881593197	0.956033776	0.986607322
enhancer binding(GO:0003705)	12	12	1.100097559	0.14175	0.491117602	0.71782	0.561631745	0.842809444	0.962023493	0.986282008	0.99586635
enoyl-CoA hydratase(GO:0004300)	4	4	0.62214804	0.41264	0.564918867	0.65095	0.51831723	0.94461449	0.98718332	0.995408376	0.998620848
enzyme activator(GO:0008047)	132	99	0.719558886	0.33733	0.502868466	0.70846	0.530955561	0.347900451	0.725406635	0.89178378	0.966237552
enzyme binding(GO:0019899)	5	5	0.363331611	0.71737	0.183263025	0.96781	0.341746233	0.931250379	0.984003986	0.994263439	0.998276259
ephrin receptor(GO:0005003)	15	12	0.753830631	0.30872	0.410079427	0.7954	0.425521913	0.145257676	0.962023493	0.986282008	0.99586635
ephrin(GO:0005106)	6	5	0.650748932	0.3857	0.767270644	0.48635	0.539928678	0.931250379	0.984003986	0.994263439	0.998276259
epidermal differentiation(GO:0008544)	48	35	0.523574561	0.51567	0.330448831	0.8687	0.394373444	0.30588103	0.893085618	0.960461645	0.987975393
epidermal growth factor receptor(GO:0005006)	8	6	1.055282108	0.15838	1.16127618	0.27468	0.520075932	0.079059333	0.980834526	0.993119687	0.997931748
epigenetic control of gene expression(GO:0040029)	41	36	0.61386581	0.42269	0.573568448	0.6429	0.521639857	0.598243055	0.890199043	0.959352951	0.987633257
epoxide hydrolase(GO:0004301)	5	4	0.615636895	0.42269	0.577342871	0.6429	0.541982977	0.94461449	0.98718332	0.995408376	0.998620848
epsilon DNA polymerase(GO:0003893)	18	13	0.455266034	0.59923	0.404919533	0.80514	0.421327665	0.830874657	0.958922335	0.985146523	0.995522395
ER to Golgi transport(GO:0006888)	31	25	0.642110711	0.39468	0.392842651	0.81458	0.489943503	0.700088376	0.922452234	0.971612177	0.991401102
establishment and/or maintenance of cell polarity(GO:0007163)	5	5	0.880755287	0.2307	0.281228518	0.90953	0.490992753	0.931250379	0.984003986	0.994263439	0.998276259
establishment and/or maintenance of chromatin architecture(GO:0006325)	87	67	0.63253544	0.40373	0.421469664	0.78572	0.494923713	0.371617614	0.805046841	0.925549559	0.977066171
estradiol 17 beta-dehydrogenase(GO:0004303)	6	6	0.485465987	0.56274	0.593585868	0.62611	0.499290535	0.918073823	0.980834526	0.993119687	0.997931748
eta DNA polymerase(GO:0015999)	13	11	0.44657146	0.61154	0.340120864	0.8605	0.411858891	0.85491425	0.965134321	0.98741867	0.996210385
ether hydrolase(GO:0016803)	5	4	0.615636895	0.42269	0.577342871	0.6429	0.541982977	0.94461449	0.98718332	0.995408376	0.998620848
eukaryotic 43S pre-initiation complex(GO:0016282)	74	50	0.573142709	0.46239	0.35686082	0.84964	0.443716466	0.489615947	0.850719564	0.943951707	0.98285164
eukaryotic 48S initiation complex(GO:0016283)	51	34	0.610155908	0.42269	0.442784029	0.76633	0.449031829	0.615598895	0.895981217	0.961571492	0.988317608
eukaryotic translation elongation factor 1(GO:0005853)	10	6	0.586525213	0.4515	0.884349555	0.41541	0.465370456	0.918073823	0.980834526	0.993119687	0.997931748
eukaryotic translation initiation factor 2 complex(GO:0005850)	4	4	0.502265704	0.53843	0.486448148	0.72676	0.463135496	0.94461449	0.98718332	0.995408376	0.998620848
eukaryotic translation initiation factor 3 complex(GO:0005852)	15	11	0.480623792	0.56274	0.328721606	0.8775	0.421162238	0.85491425	0.965134321	0.98741867	0.996210385
eukaryotic translation initiation factor 4 complex(GO:0008304)	18	9	0.650981358	0.3857	0.434413072	0.77592	0.530901139	0.879643561	0.971385102	0.989695533	0.996898693
eukaryotic translation initiation factor 4F complex(GO:0016281)	12	8	0.997781391	0.18098	0.704914739	0.52817	0.598302647	0.102473927	0.974525114	0.990835735	0.997242965
excitatory extracellular ligand-gated ion channel(GO:0005231)	31	25	0.67893903	0.36856	0.453446233	0.75799	0.476596333	0.700088376	0.922452234	0.971612177	0.991401102
excretion(GO:0007588)	21	14	0.809396	0.27595	0.496526645	0.71782	0.508159505	0.81910752	0.955830818	0.984012215	0.995178518
exo-alpha-sialidase(GO:0004308)	11	9	0.921157017	0.21077	0.342778688	0.8605	0.490837713	0.113664693	0.971385102	0.989695533	0.996898693
exocytosis(GO:0006887)	48	31	0.657719137	0.3857	0.566367754	0.65095	0.503552593	0.642573286	0.904722436	0.964907962	0.989344728
exonuclease(GO:0004527)	27	24	0.684260479	0.36029	0.53811897	0.67962	0.549510991	0.710158645	0.925439588	0.972733613	0.991744108
exopeptidase(GO:0008238)	50	35	0.89378514	0.22568	0.49812019	0.71782	0.576534028	0.074268	0.101345983	0.960461645	0.987975393
exoribonuclease(GO:0004532)	7	6	0.885200243	0.2307	0.994257671	0.35772	0.60411873	0.918073823	0.980834526	0.993119687	0.997931748
"exoribonuclease, producing 5'-phosphomonoesters(GO:0016896)"	7	6	0.885200243	0.2307	0.994257671	0.35772	0.60411873	0.918073823	0.980834526	0.993119687	0.997931748
exotoxin(GO:0019845)	9	7	0.834769198	0.25852	0.497754557	0.71782	0.53194602	0.905082213	0.977674912	0.991977119	0.997587317
external protective structure organization and biogenesis(GO:0045229)	14	6	0.862696461	0.2417	0.699919269	0.53537	0.655986348	0.918073823	0.980834526	0.993119687	0.997931748
external protective structure(GO:0030312)	37	28	0.825859182	0.26413	0.637076669	0.58591	0.565488548	0.670719619	0.91354586	0.968254847	0.990372559
extracellular ligand-gated ion channel(GO:0005230)	49	42	0.553445517	0.48229	0.264219916	0.9248	0.403284812	0.54903475	0.873067602	0.95272494	0.985582098
extracellular matrix glycoprotein(GO:0005207)	8	6	1.235823822	0.10558	0.773888003	0.47897	0.516317687	0.918073823	0.980834526	0.993119687	0.997931748
extracellular matrix organization and biogenesis(GO:0030198)	8	7	0.726750888	0.33041	0.407248267	0.80514	0.445436165	0.090941275	0.977674912	0.991977119	0.997587317
extracellular matrix structural constituent conferring tensile strength(GO:0030020)	37	27	1.612500158	0.04649	0.912623793	0.39839	0.741774412	1.58E-06	0.916505398	0.969372795	0.990715328
extracellular matrix structural constituent(GO:0005201)	87	65	1.122516968	0.13545	0.628631008	0.5955	0.583198638	3.03E-05	0.81029479	0.927697628	0.977745633
extrinsic membrane protein(GO:0019898)	52	41	0.601903864	0.43212	0.408658201	0.80514	0.450849024	0.556947953	0.875900595	0.953826739	0.98592376
extrinsic plasma membrane protein(GO:0019897)	52	41	0.601903864	0.43212	0.408658201	0.80514	0.450849024	0.556947953	0.875900595	0.953826739	0.98592376
eye morphogenesis (sensu Drosophila)(GO:0007456)	11	9	0.345749637	0.74443	0.192886618	0.96389	0.310136699	0.879643561	0.971385102	0.989695533	0.996898693
