class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
cyclic nucleotide metabolism(GO:0009187)	29	26	2.836727286	0.36412	2.033994446	0.69046	0.529621513	0.155036273	0.104465535	0.113785949	0.233388715	0.302370485	0.374905665
cyclic-nucleotide dependent protein kinase(GO:0004690)	61	41	2.653112217	0.39865	1.634132548	0.75948	0.49192252	0.084308499	0.077717213	0.152453992	0.20483357	0.231668751	0.149514604
cyclic-nucleotide phosphodiesterase(GO:0004112)	31	25	2.591574786	0.4103	2.033994446	0.69046	0.528178636	0.148435734	0.093288214	0.144822658	0.19015797	0.312140462	0.351368035
cyclic-nucleotide-mediated signaling(GO:0019935)	71	48	2.363908391	0.45755	1.286655646	0.82575	0.487439986	0.078234922	0.061969556	0.063699025	0.080870981	0.116751114	0.275712273
"cyclin-dependent protein kinase holoenzyme, nuclear(GO:0019908)"	9	6	1.993466917	0.53897	1.63621133	0.75948	0.444665222	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
cyclin-dependent protein kinase inhibitor(GO:0004861)	12	7	2.16167638	0.50038	1.433736974	0.79825	0.457442233	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
cyclin-dependent protein kinase(GO:0004693)	24	12	2.349476911	0.46157	1.783795977	0.73278	0.477755684	0.057139379	0.163416128	0.128101091	0.271933709	0.426676519	0.605536445
"cyclin-dependent protein kinase, regulator(GO:0016538)"	55	35	2.792522758	0.37159	1.63621133	0.75948	0.518643073	0.133974915	0.138433474	0.184524776	0.221368745	0.268979865	0.346433926
cyclohydrolase(GO:0019238)	5	4	2.086608496	0.51818	2.21319394	0.65848	0.4528353	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
cyclophilin(GO:0004600)	21	16	2.063181332	0.52301	2.305563287	0.64097	0.499118339	0.125249343	0.078491443	0.064529394	0.176099753	0.321125746	0.51221098
cysteine metabolism(GO:0006534)	4	4	0.233441806	0.98367	0.129833207	0.99755	0.088068866	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
cysteine protease inhibitor(GO:0004869)	23	15	3.423837891	0.26508	1.338906751	0.81668	0.457335744	0.212596556	0.243495759	0.227316121	0.27108304	0.195933496	0.102105438
cysteine-type endopeptidase(GO:0004197)	110	80	3.095856072	0.31752	1.620488633	0.76234	0.526085966	0.063958304	0.106802474	0.106872889	0.079734867	0.12692671	0.120442894
cysteine-type peptidase(GO:0008234)	121	90	3.193590256	0.30055	1.634920294	0.75948	0.532823736	0.05302132	0.089006336	0.058595772	0.055301591	0.07472767	0.044431585
cytochrome c oxidase(GO:0004129)	19	16	1.916441811	0.55792	1.817325762	0.72593	0.459662105	0.057682764	0.078491443	0.193107999	0.323374146	0.378401345	0.51221098
cytochrome P450(GO:0015034)	52	36	1.99960667	0.53897	1.467048259	0.79252	0.421356727	0.070970257	0.017923705	0.046100782	0.166554752	0.265287666	0.221540964
cytokine binding(GO:0019955)	57	45	2.092248606	0.51597	1.268878816	0.82958	0.43512805	0.016184712	0.026084397	0.041498217	0.098374718	0.219989103	0.293089654
cytokinesis(GO:0016288)	135	84	2.838977334	0.36412	1.503525632	0.78538	0.488571371	0.053277339	0.065225555	0.115898444	0.129952045	0.16659746	0.222280845
cytolysis(GO:0019835)	10	10	2.241868458	0.48298	1.198827564	0.84258	0.445228916	0.215546951	0.296622318	0.283341161	0.387485706	0.491798765	0.658373848
cytoplasmic dynein(GO:0005868)	9	7	3.744603185	0.22065	2.800697449	0.5644	0.654393421	0.242883739	0.143855083	0.220866077	0.375498315	0.313358572	0.746370111
cytoplasmic transport(GO:0016482)	84	67	3.185497373	0.30246	1.775117467	0.73401	0.530664644	0.033048127	0.07717926	0.088898695	0.101664288	0.193776927	0.245471504
cytoplasmic vesicle(GO:0016023)	89	77	2.653527478	0.39865	2.120875436	0.67466	0.510020649	0.093390701	0.039168819	0.083924858	0.126720864	0.123121731	0.228665436
cytoskeletal adaptor(GO:0008093)	5	4	2.864774035	0.35862	3.475219739	0.47193	0.596075126	0.281506813	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
cytoskeletal anchor protein(GO:0016343)	7	5	0.814431187	0.84536	0.257791457	0.99087	0.207417219	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
cytoskeletal anchoring(GO:0007016)	14	12	2.277474986	0.47646	1.389034448	0.80724	0.451112718	0.146202762	0.261249781	0.295155296	0.235844716	0.376888393	0.310414461
cytosolic calcium ion concentration elevation(GO:0007204)	34	27	2.795039223	0.37159	1.497867973	0.78722	0.479460385	0.161898795	0.158658452	0.210062185	0.235589764	0.279886151	0.207116824
cytosolic large ribosomal subunit (sensu Eukarya)(GO:0005842)	49	41	3.658834296	0.23206	3.085187889	0.52403	0.612015491	0.00434145	0.003192946	0.012536445	0.033020388	0.038530096	0.315721767
cytosolic phospholipase A2(GO:0004626)	7	6	2.692519907	0.39085	3.047255492	0.52931	0.59033799	0.203230125	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
cytosolic small ribosomal subunit (sensu Eukarya)(GO:0005843)	45	34	4.269542302	0.16021	3.914131699	0.40858	0.646952208	0.002002228	9.49E-04	0.002865542	0.137580008	0.121493471	0.112291675
cytotoxin(GO:0019849)	4	4	2.340869341	0.46157	2.295305668	0.6427	0.49316759	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
damaged DNA binding(GO:0003684)	13	7	3.443044724	0.26217	2.602084312	0.59782	0.574250271	0.242883739	0.29738265	0.394492294	0.375498315	0.608543448	0.746370111
'de novo' pyrimidine biosynthesis(GO:0006207)	6	5	2.476947206	0.43412	0.657778721	0.93742	0.435713426	0.320392215	0.235734836	0.148048042	0.333134433	0.701361285	0.811454522
deaminase(GO:0019239)	5	5	3.241121281	0.29253	4.179798541	0.37736	0.540782661	0.148785806	0.068398986	0.396759683	0.333134433	0.257900072	0.811454522
death receptor adaptor protein(GO:0005037)	5	4	2.3834857	0.45314	2.316768291	0.63919	0.552853359	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
death receptor(GO:0005035)	5	4	1.071533385	0.77309	1.698861444	0.74765	0.312153865	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
delayed rectifier potassium channel(GO:0005251)	13	10	2.330254508	0.46351	1.571345336	0.77052	0.451590361	0.265144619	0.078012635	0.180464481	0.33789298	0.491798765	0.658373848
delta DNA polymerase(GO:0003891)	12	11	4.578162689	0.13119	4.396855627	0.35167	0.694607236	0.02312232	0.016719516	0.015875663	0.017174024	0.458083885	0.631404317
deoxycytidyl transferase(GO:0017125)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
"deoxycytidyl transferase, template dependent(GO:0019986)"	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
deoxynucleoside kinase(GO:0019136)	4	4	4.191979523	0.1675	5.146301788	0.27017	0.611515772	0.281506813	0.182480293	0.105386691	0.297009483	0.221464771	0.144430828
deoxyribonuclease(GO:0004536)	37	18	2.543771925	0.42028	1.300023209	0.82167	0.427513802	0.034248115	0.052988034	0.154212909	0.292810307	0.36938792	0.471074674
detoxification response(GO:0009636)	29	23	2.112721009	0.51158	1.385155493	0.80724	0.444730091	0.027302228	0.060451687	0.08362277	0.082280096	0.195224935	0.382078627
deubiquitination(GO:0006514)	21	17	3.641799879	0.23339	2.487601137	0.61545	0.573396415	0.138475204	0.167689491	0.157555029	0.161818866	0.220270279	0.121692046
"di-, tri-valent inorganic cation homeostasis(GO:0030005)"	49	37	2.506090139	0.42819	1.59810682	0.76665	0.472435569	0.138696883	0.156598851	0.142609184	0.157941458	0.196892306	0.336836516
"di-, tri-valent inorganic cation transport(GO:0015674)"	92	63	2.593287076	0.4103	1.586180735	0.76875	0.463593303	0.080566216	0.101724465	0.090675619	0.154989097	0.173585304	0.142319477
"di-, tri-valent inorganic cation transporter(GO:0015082)"	30	23	2.71028999	0.38676	1.274010822	0.82741	0.47523885	0.177029658	0.17216587	0.210131151	0.125897967	0.137703702	0.176352461
diacylglycerol binding(GO:0019992)	4	4	1.021720151	0.78673	1.043424849	0.87239	0.292258608	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
diacylglycerol kinase(GO:0004143)	9	8	2.555787417	0.41845	2.702758327	0.57686	0.529134546	0.265378933	0.302253673	0.379933254	0.419827894	0.566840302	0.71580696
dicarboxylic acid transport(GO:0006835)	10	8	1.850207582	0.57244	1.98503867	0.69843	0.433464828	0.265378933	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
dicarboxylic acid transporter(GO:0005310)	11	9	1.816173669	0.5814	1.19567857	0.84258	0.41328354	0.271820014	0.306203869	0.214188685	0.376641551	0.527990371	0.686491811
digestion(GO:0007586)	40	33	2.624070556	0.40445	1.388771794	0.80724	0.500777986	0.122134777	0.12584615	0.125028537	0.193373946	0.275091861	0.242630924
dihydropyridine-sensitive calcium channel(GO:0015270)	10	6	1.730201826	0.60083	1.586180735	0.76875	0.404885196	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
dihydropyrimidinase(GO:0004157)	4	4	4.70899472	0.12019	4.774690718	0.31097	0.750210691	0.087136606	0.182480293	0.376626963	0.297009483	0.221464771	0.144430828
dimethylaniline monooxygenase (N-oxide forming)(GO:0004499)	5	5	1.148585145	0.75306	0.16037805	0.99553	0.277375075	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
dipeptidase(GO:0016805)	8	7	1.462185093	0.66757	1.180288301	0.84404	0.362880886	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
dipeptidyl-peptidase and tripeptidyl-peptidase(GO:0016806)	6	5	1.42538904	0.67831	1.180288301	0.84404	0.381529199	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
dipeptidyl-peptidase IV(GO:0004274)	5	4	0.931982517	0.81244	1.180288301	0.84404	0.296984108	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
dipeptidyl-peptidase(GO:0008239)	7	6	1.656932149	0.62012	1.185140693	0.84404	0.428648844	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
diphosphotransferase(GO:0016778)	15	10	3.176770136	0.30405	1.86546591	0.71713	0.559373494	0.215546951	0.116637227	0.283341161	0.33789298	0.491798765	0.658373848
disulfide oxidoreductase(GO:0015036)	14	12	2.813120617	0.36814	2.516193115	0.61073	0.485498514	0.23692287	0.252949044	0.183575284	0.374315198	0.376888393	0.310414461
DNA alkylation(GO:0006305)	21	15	3.388852357	0.27104	2.243008843	0.65144	0.51761302	0.207955736	0.212135596	0.281019806	0.27108304	0.380828486	0.342373775
DNA damage checkpoint(GO:0000077)	9	7	4.057075692	0.18264	4.099116941	0.38856	0.645756267	0.031397174	0.041724008	0.068636051	0.375498315	0.313358572	0.746370111
DNA damage response(GO:0006974)	51	30	2.848755616	0.36234	1.705147243	0.74493	0.505885668	0.150577737	0.169342953	0.19627929	0.220671716	0.262586658	0.284935626
"DNA damage response, activation of p53(GO:0006976)"	5	4	3.375959914	0.27253	3.492597542	0.46855	0.572477727	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
DNA degradation(GO:0006308)	9	8	2.628663372	0.40445	1.56454266	0.77323	0.456230426	0.285579569	0.307303762	0.248202788	0.154305703	0.085746197	0.244505203
DNA dependent adenosinetriphosphatase(GO:0008094)	43	31	3.390789763	0.26956	2.102252532	0.67886	0.579745099	0.070599933	0.069821363	0.103088075	0.057543995	0.198407837	0.232259127
DNA dependent DNA replication(GO:0006261)	14	11	4.897745332	0.1051	5.774690718	0.21317	0.683083394	0.02312232	0.003458801	0.002953717	0.002743233	0.370863671	0.631404317
DNA helicase(GO:0003678)	55	38	3.995267269	0.18924	2.702149795	0.57686	0.594322636	0.03164213	0.001297537	0.002658332	2.16E-04	0.009756801	0.134048036
DNA integration(GO:0015074)	4	4	2.697563487	0.39085	0.369165482	0.97927	0.343366241	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
DNA ligase (ATP)(GO:0003910)	7	5	4.886455291	0.10582	2.049018224	0.68813	0.511330524	0.344771205	0.405945729	0.396759683	0.333134433	0.257900072	0.173170059
DNA ligase(GO:0003909)	7	5	4.886455291	0.10582	2.049018224	0.68813	0.511330524	0.344771205	0.405945729	0.396759683	0.333134433	0.257900072	0.173170059
DNA methylation(GO:0006306)	21	15	3.388852357	0.27104	2.243008843	0.65144	0.51761302	0.207955736	0.212135596	0.281019806	0.27108304	0.380828486	0.342373775
DNA modification(GO:0006304)	25	18	4.001424068	0.18821	2.243008843	0.65144	0.509527255	0.193075841	0.179969621	0.244032928	0.174256265	0.230861473	0.131323737
DNA N-glycosylase(GO:0019104)	10	6	3.458575379	0.2607	3.085896538	0.52403	0.568179994	0.203230125	0.274068357	0.401240846	0.35870215	0.653308958	0.778234229
DNA recombination(GO:0006310)	77	53	3.43146234	0.26355	1.843839283	0.72124	0.535860939	0.073250808	0.032328952	0.017053129	0.08380569	0.041439907	0.199358015
DNA repair enzyme(GO:0003686)	13	9	4.463807623	0.14128	4.847711656	0.30388	0.680962133	0.027188789	0.026173747	0.117045762	0.047507272	0.349649384	0.686491811
DNA repair protein(GO:0003685)	82	56	3.090517059	0.31752	1.934405348	0.70569	0.534117657	0.053185407	0.045743313	0.144495277	0.169571407	0.207778864	0.270895757
DNA repair regulation(GO:0006282)	7	5	1.9694767	0.54609	0.981903107	0.88091	0.390945214	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
DNA replication and chromosome cycle(GO:0000067)	9	9	3.177492196	0.30405	3.681252355	0.44117	0.622615749	0.087906283	0.207435592	0.117045762	0.376641551	0.527990371	0.686491811
DNA replication checkpoint(GO:0000076)	8	5	4.017521003	0.18709	3.334576622	0.4916	0.700373269	0.034527854	0.235734836	0.396759683	0.333134433	0.257900072	0.811454522
DNA replication factor C complex(GO:0005663)	10	7	2.451002331	0.43853	1.173060458	0.84595	0.445243544	0.313701777	0.341297905	0.394492294	0.375498315	0.313358572	0.746370111
DNA replication factor(GO:0003687)	20	17	3.935270254	0.19626	3.181247069	0.51039	0.622424298	0.037258167	0.04432011	0.008313018	7.85E-04	0.020716454	0.35695436
DNA replication initiation(GO:0006270)	18	15	3.834368667	0.20891	3.181247069	0.51039	0.653212779	0.004568176	0.135436866	0.052135223	0.04610455	0.195933496	0.534103089
DNA replication origin binding(GO:0003688)	5	5	5.516037472	0.06822	6.183096161	0.18199	0.826056592	0.034527854	0.068398986	0.027596443	0.008716008	0.257900072	0.173170059
DNA replication regulation(GO:0006275)	6	4	3.21858163	0.29738	1.577968569	0.77052	0.562214062	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
DNA replication(GO:0006260)	105	81	4.057667606	0.18264	2.806121609	0.5644	0.60424665	0.001490187	0.001126576	1.12E-04	1.01E-05	0.00210464	0.066185053
DNA topoisomerase (ATP-hydrolyzing)(GO:0003918)	7	5	9.311994486	0.00401	5.982966661	0.19651	0.7164118	0.148785806	0.068398986	0.027596443	0.076254843	0.037861784	0.014736952
DNA topoisomerase(GO:0003916)	14	9	5.565242119	0.06564	1.280846064	0.82575	0.49113226	0.271820014	0.207435592	0.117045762	0.178032787	0.102715723	0.044928052
DNA topological change(GO:0006265)	13	9	7.072317303	0.0207	5.982966661	0.19651	0.671297969	0.087906283	0.026173747	0.006090585	0.008138912	0.017568572	0.044928052
DNA-directed DNA polymerase(GO:0003887)	22	18	4.557875731	0.13295	3.158763827	0.51539	0.600458273	0.050911558	0.022401884	0.011470712	0.005904484	0.230861473	0.362501824
DNA-directed RNA polymerase I(GO:0003900)	19	14	2.806958075	0.36978	2.767423148	0.56902	0.557135969	0.207555284	0.2513661	0.215768254	0.261828441	0.370164396	0.556928008
DNA-directed RNA polymerase II(GO:0003901)	19	15	3.274578219	0.28741	2.767423148	0.56902	0.569933695	0.164560617	0.212135596	0.12718259	0.134449031	0.380828486	0.342373775
"DNA-directed RNA polymerase II, core(GO:0005665)"	28	21	4.379283998	0.14989	3.350212095	0.48764	0.661691628	0.025325648	0.048571294	0.008177904	0.012486637	0.039282709	0.042826834
DNA-directed RNA polymerase III complex(GO:0005666)	7	5	2.12603468	0.50932	1.112496914	0.85787	0.456881397	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
DNA-directed RNA polymerase III(GO:0003902)	19	15	2.923932866	0.348	2.767423148	0.56902	0.545662045	0.164560617	0.243495759	0.227316121	0.27108304	0.34477583	0.534103089
DNA-directed RNA polymerase(GO:0003899)	36	27	2.795006885	0.37159	1.321702922	0.81851	0.497010834	0.161898795	0.170981132	0.180356786	0.16183524	0.279886151	0.207116824
dosage compensation(GO:0007549)	6	5	5.51446985	0.06822	5.866461092	0.20577	0.849030704	0.003203289	0.009916206	0.027596443	0.076254843	0.701361285	0.811454522
"dosage compensation, by hyperactivation of X chromosome(GO:0009047)"	6	5	5.51446985	0.06822	5.866461092	0.20577	0.849030704	0.003203289	0.009916206	0.027596443	0.076254843	0.701361285	0.811454522
double-strand break repair(GO:0006302)	21	10	3.226085274	0.2957	1.870160321	0.71487	0.534879518	0.213920068	0.296622318	0.337242032	0.387485706	0.491798765	0.658373848
double-stranded DNA binding(GO:0003690)	31	19	4.125572768	0.17481	2.135290249	0.67372	0.619378019	0.11653552	0.128180244	0.182288948	0.084947827	0.240378343	0.366997395
double-stranded RNA binding(GO:0003725)	18	14	3.777733215	0.21674	2.190734628	0.66354	0.613273178	0.144567054	0.116475845	0.11064564	0.119853771	0.381564386	0.333162915
drug binding(GO:0008144)	12	9	1.527356387	0.65159	0.768209268	0.91972	0.387128726	0.13478182	0.263484415	0.214188685	0.376641551	0.527990371	0.686491811
drug resistance(GO:0009315)	15	12	3.443237259	0.26217	1.958595471	0.70265	0.559723226	0.23692287	0.165201445	0.183575284	0.089942123	0.152295866	0.310414461
drug transporter(GO:0015238)	8	6	2.9126179	0.34977	1.644155934	0.75696	0.495443963	0.328165729	0.274068357	0.401240846	0.521602209	0.653308958	0.778234229
dynactin complex(GO:0005869)	6	6	1.406291985	0.68356	1.130105607	0.85409	0.330944926	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
dynamin GTPase(GO:0008549)	5	4	2.572674661	0.41433	2.739320548	0.57289	0.555381652	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
dynein ATPase(GO:0008567)	8	7	1.784096727	0.58883	0.609957349	0.94453	0.351163951	0.224968422	0.341297905	0.394492294	0.375498315	0.313358572	0.746370111
dynein(GO:0030286)	19	15	2.450215834	0.43853	1.944923792	0.70467	0.489716697	0.207955736	0.212135596	0.281019806	0.337911752	0.380828486	0.534103089
dystrophin-associated glycoprotein complex(GO:0016010)	8	6	2.322789462	0.46568	0.890107741	0.89572	0.410103565	0.328165729	0.377507532	0.401240846	0.35870215	0.653308958	0.778234229
early endosome(GO:0005769)	17	14	2.113705482	0.51158	1.481226877	0.78921	0.50310821	0.223366391	0.21627846	0.238013304	0.218838087	0.370164396	0.556928008
ectoderm development(GO:0007398)	13	8	1.896612342	0.56279	0.813379822	0.90999	0.350457721	0.175512605	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
EGF receptor signaling pathway(GO:0007173)	19	14	2.874869827	0.35693	2.556353751	0.60448	0.520474583	0.223366391	0.2513661	0.289013723	0.351528707	0.381564386	0.556928008
eicosanoid metabolism(GO:0006690)	24	19	2.859947785	0.36048	2.803141533	0.5644	0.536751963	0.066086174	0.128180244	0.1371422	0.277282666	0.363200767	0.451759022
eicosanoid receptor(GO:0004953)	8	7	1.505428062	0.65674	1.030850711	0.87357	0.39137317	0.313701777	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
electron carrier(GO:0009055)	23	21	2.873928412	0.35693	1.688852456	0.74945	0.514744153	0.145888174	0.199005111	0.199950695	0.205233354	0.256203687	0.159090153
electron transfer flavoprotein(GO:0008246)	39	36	2.485736515	0.43232	1.860086297	0.71713	0.497126205	0.129041268	0.150376335	0.180570648	0.216658048	0.221164834	0.255461005
embryo implantation(GO:0007566)	7	5	2.547305964	0.42028	1.413923798	0.80154	0.550583986	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
endocytosis(GO:0006897)	93	71	2.650042179	0.39865	1.77099431	0.73401	0.503419839	0.085008509	0.113173228	0.130188884	0.075434619	0.147464945	0.233341245
endodeoxyribonuclease(GO:0004520)	20	9	2.57374653	0.41433	1.870160321	0.71487	0.470037077	0.13478182	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
endoderm development(GO:0007492)	10	7	3.225680383	0.2957	2.10946162	0.67886	0.630581029	0.242883739	0.143855083	0.301701015	0.467959592	0.608543448	0.746370111
endonuclease(GO:0004519)	60	42	2.867634982	0.35862	2.090476063	0.6801	0.533111019	0.131755949	0.133741245	0.161349806	0.176866814	0.236777682	0.310163118
endopeptidase inhibitor(GO:0004866)	98	82	2.65222605	0.39865	1.437014008	0.79825	0.470499306	0.09479615	0.100680585	0.093545668	0.137373075	0.175128985	0.125799263
endopeptidase(GO:0004175)	90	74	2.397100486	0.45089	1.24112821	0.83426	0.419780332	0.084504974	0.050367494	0.070057096	0.152931024	0.15419605	0.173925239
endoplasmic reticulum lumen(GO:0005788)	8	7	2.899385913	0.35346	1.887951627	0.71304	0.517248499	0.313701777	0.29738265	0.220866077	0.375498315	0.608543448	0.746370111
endoplasmic reticulum membrane(GO:0005789)	36	31	2.431583737	0.4426	1.504573084	0.78538	0.47344038	0.148465267	0.129685521	0.1451248	0.234636931	0.252725916	0.36270791
"endoplasmic reticulum membrane, integral protein(GO:0030176)"	14	8	3.013554617	0.33176	1.785172412	0.73278	0.475066249	0.175512605	0.302253673	0.379933254	0.385053587	0.333625169	0.244505203
endoplasmic reticulum receptor(GO:0005045)	19	15	2.934486934	0.34598	2.088815215	0.68128	0.563954189	0.207955736	0.212135596	0.281019806	0.337911752	0.380828486	0.342373775
endoribonuclease(GO:0004521)	18	17	3.411883944	0.26668	2.476573521	0.61658	0.626935545	0.138475204	0.167689491	0.076350297	0.06475581	0.374517644	0.35695436
"endoribonuclease, producing 5'-phosphomonoesters(GO:0016891)"	13	12	3.821801585	0.21018	3.84693246	0.41767	0.67333494	0.095344893	0.165201445	0.076999269	0.089942123	0.376888393	0.310414461
"endoribonuclease, producing other than 5'-phosphomonoesters(GO:0016892)"	4	4	2.774921281	0.37518	2.111733993	0.67692	0.554358295	0.40397385	0.419050518	0.376626963	0.297009483	0.752941299	0.846088534
endosome organization and biogenesis(GO:0007032)	14	13	2.064936275	0.52301	1.528516127	0.77993	0.500356941	0.201103679	0.239245702	0.262300029	0.24394728	0.397418995	0.580725359
endosome transport(GO:0016197)	14	13	2.064936275	0.52301	1.528516127	0.77993	0.500356941	0.201103679	0.239245702	0.262300029	0.24394728	0.397418995	0.580725359
endosome(GO:0005768)	63	48	2.654214853	0.39865	1.688396579	0.74945	0.530960018	0.12349375	0.135978464	0.150918523	0.184136016	0.189265149	0.277191042
"energy coupled proton transport, down the electrochemical gradient(GO:0015985)"	5	4	3.299042431	0.28431	3.754914434	0.43046	0.60636889	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
energy derivation by oxidation of organic compounds(GO:0015980)	116	94	2.40517681	0.44882	1.605567583	0.76548	0.477530869	0.019571169	0.031737706	0.088240183	0.132227233	0.151809402	0.205759728
enhancer binding(GO:0003705)	28	19	2.347066471	0.46157	1.54212113	0.77668	0.469710339	0.12823207	0.186960742	0.230742831	0.277282666	0.259457915	0.451759022
enoyl-CoA hydratase(GO:0004300)	5	5	1.970368479	0.54377	1.092886513	0.86185	0.421264299	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
enterobactin biosynthesis(GO:0009239)	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
enterobactin metabolism(GO:0009238)	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
enzyme binding(GO:0019899)	13	10	3.683804454	0.22833	3.126778826	0.51946	0.582746988	0.120088815	0.296622318	0.283341161	0.199699769	0.361916059	0.281179636
eosinophil peroxidase(GO:0016685)	4	4	2.481433198	0.43232	3.775521325	0.42782	0.477726944	0.281506813	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
ephrin receptor(GO:0005003)	19	14	2.167820911	0.50038	1.700344548	0.74493	0.454642513	0.093913563	0.21627846	0.238013304	0.218838087	0.370164396	0.556928008
ephrin(GO:0005106)	12	8	3.650321506	0.23206	1.877754623	0.71487	0.543107083	0.265378933	0.307303762	0.248202788	0.385053587	0.333625169	0.244505203
epidermal differentiation(GO:0008544)	59	51	1.911796919	0.55792	1.277108566	0.82741	0.405285737	0.010719645	0.072506719	0.123463805	0.065943913	0.184938943	0.258340017
epidermal growth factor receptor ligand(GO:0005154)	4	4	1.950206665	0.54825	2.455917066	0.61973	0.522814833	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
epidermal growth factor receptor(GO:0005006)	16	7	2.058317183	0.52511	0.870422884	0.89871	0.346105538	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
epigenetic control of gene expression(GO:0040029)	48	32	3.63796793	0.23472	2.319115392	0.63919	0.54036301	0.113792678	0.078741759	0.111233017	0.063569093	0.203965283	0.101144048
epigenetic control of protein activity(GO:0040030)	15	9	3.484678389	0.25641	0.776797502	0.91777	0.469929995	0.271820014	0.306203869	0.268955401	0.178032787	0.102715723	0.044928052
epsilon DNA polymerase(GO:0003893)	11	10	4.344524705	0.15263	4.396855627	0.35167	0.669253012	0.04643646	0.040586493	0.045966653	0.060909904	0.491798765	0.658373848
ER to Golgi transport(GO:0006888)	31	25	2.090443696	0.51597	1.528516127	0.77993	0.434650573	0.128197867	0.043006488	0.064501158	0.19015797	0.169334829	0.351368035
establishment and/or maintenance of cell polarity(GO:0007163)	13	9	2.608107026	0.40824	1.801857224	0.72797	0.44270436	0.271820014	0.306203869	0.214188685	0.376641551	0.527990371	0.686491811
estrogen metabolism(GO:0008210)	4	4	2.416225736	0.4466	2.331492013	0.63529	0.581296653	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
eta DNA polymerase(GO:0015999)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
eukaryotic translation elongation factor 1(GO:0005853)	7	6	3.865191929	0.20501	3.19264089	0.50875	0.644167469	0.203230125	0.274068357	0.187176934	0.35870215	0.288313959	0.199321761
eukaryotic translation initiation factor 3 complex(GO:0005852)	13	12	2.849116588	0.36234	2.07462705	0.68377	0.489435205	0.226594925	0.261249781	0.295155296	0.235844716	0.376888393	0.310414461
eukaryotic translation initiation factor 4 complex(GO:0008304)	12	10	3.359263073	0.27569	2.692944898	0.57993	0.593831325	0.215546951	0.296622318	0.337242032	0.387485706	0.361916059	0.281179636
eukaryotic translation initiation factor 4F complex(GO:0016281)	9	8	3.385555063	0.27104	2.085398776	0.68128	0.581140087	0.265378933	0.307303762	0.379933254	0.385053587	0.333625169	0.244505203
excitatory extracellular ligand-gated ion channel(GO:0005231)	48	33	2.668782141	0.39673	1.26229025	0.82958	0.464276692	0.102447048	0.165396973	0.189974041	0.197015524	0.115053864	0.242630924
