GO:0000001	mitochondrion inheritance
GO:0016316	inositol-3,4,-bisphosphate 4-phosphatase
GO:0016318	ommatidial rotation
GO:0016319	mushroom body development
GO:0001632	leukotrine B4 receptor
GO:0016320	ER fusion
GO:0016321	female meiosis chromosome segregation
GO:0016322	neuronal remodeling
GO:0016323	basolateral plasma membrane
GO:0016324	apical plasma membrane
GO:0016325	organization of the oocyte microtubule cytoskeleton
GO:0016326	kinesin motor
GO:0016327	apicolateral plasma membrane
GO:0016328	lateral plasma membrane
GO:0016329	apoptosis regulator
GO:0001633	secretin-like receptor
GO:0016330	second mitotic wave
GO:0016331	morphogenesis of embryonic epithelium
GO:0016332	establishment and/or maintenance of polarity of embryonic epithelium
GO:0016333	morphogenesis of follicular epithelium
GO:0016334	establishment and/or maintenance of polarity of follicular epithelium
GO:0016335	morphogenesis of larval imaginal disc epithelium
GO:0016336	establishment and/or maintenance of polarity of larval imaginal disc epithelium
GO:0016337	cell-cell adhesion
GO:0016338	calcium-independent cell-cell adhesion
GO:0016339	calcium-dependent cell-cell adhesion
GO:0001634	pituitary adenylate cyclase activating protein receptor
GO:0016340	calcium-dependent cell-matrix adhesion
GO:0016341	other collagen
GO:0016342	catenin
GO:0016343	cytoskeletal anchor protein
GO:0016344	meiotic chromosome movement
GO:0016345	female meiotic chromosome movement
GO:0016346	male meiotic chromosome movement
GO:0016347	calcium-independent cell adhesion molecule
GO:0016348	leg joint morphogenesis
GO:0016349	proboscis morphogenesis
GO:0001635	calcitonin gene-related polypeptide receptor
GO:0016350	maintenance of oocyte identity
GO:0016351	drug susceptibility/resistance
GO:0016352	insecticide susceptibility/resistance
GO:0016353	carbamate susceptibility/resistance
GO:0016354	cyclodiene susceptibility/resistance
GO:0016355	DDT susceptibility/resistance
GO:0016356	organophosphosphorous susceptibility/resistance
GO:0016357	pyrethroid susceptibility/resistance
GO:0016358	dendrite morphogenesis
GO:0016359	mitotic sister chromatid separation
GO:0001636	corticotrophin-releasing factor gastric inhibitory peptide-like receptor
GO:0016360	determination of sensory organ precursor cell fate
GO:0016361	type I activin receptor
GO:0016362	type II activin receptor
GO:0016363	nuclear matrix
GO:0001637	G-protein chemoattractant receptor
GO:0001638	class B orphan receptor
GO:0001639	PLC activating metabotropic glutamate receptor
GO:0000164	protein phosphatase type 1 complex
GO:0001640	adenylate cyclase inhibiting metabotropic glutamate receptor
GO:0016401	palmitoyl-CoA oxidase
GO:0016402	pristanoyl-CoA oxidase
GO:0016403	dimethylargininase
GO:0016404	15-hydroxyprostaglandin dehydrogenase (NAD+)
GO:0016405	CoA-ligase
GO:0016406	carnitine O-acyltransferase
GO:0016407	acetyltransferase
GO:0016408	C-acyltransferase
GO:0016409	palmitoyltransferase
GO:0001641	group II metabotropic glutamate receptor
GO:0016410	N-acyltransferase
GO:0016411	acylglycerol O-acyltransferase
GO:0016412	serine O-acyltransferase
GO:0016413	O-acetyltransferase
GO:0016414	O-octanoyltransferase
GO:0016415	octanoyltransferase
GO:0016416	O-palmitoyltransferase
GO:0016417	S-acyltransferase
GO:0016418	S-acetyltransferase
GO:0016419	S-malonyltransferase
GO:0001642	group III metabotropic glutamate receptor
GO:0016420	malonyltransferase
GO:0016421	CoA carboxylase
GO:0016422	mRNA (2'-O-methyladenosine-N6-)-methyltransferase
GO:0016423	tRNA (guanine) methyltransferase
GO:0016424	tRNA (guanosine) methyltransferase
GO:0016426	tRNA (adenine)-methyltransferase
GO:0016427	tRNA (cytosine)-methyltransferase
GO:0016428	tRNA (cytosine-5-)-methyltransferase
GO:0016429	tRNA (adenine-N1-)-methyltransferase
GO:0016430	tRNA (adenine-N6-)-methyltransferase
GO:0016431	tRNA (uridine) methyltransferase
GO:0016432	tRNA-uridine aminocarboxypropyltransferase
GO:0016433	rRNA (adenine) methyltransferase
GO:0016434	rRNA (cytosine) methyltransferase
GO:0016435	rRNA (guanine) methyltransferase
GO:0016436	rRNA (uridine) methyltransferase
GO:0016437	tRNA cytidylyltransferase
GO:0016438	tRNA-queuosine beta-mannosyltransferase
GO:0016439	tRNA-pseudouridine synthase I
GO:0016440	transcriptional gene silencing
GO:0016441	post-transcriptional gene silencing
GO:0016442	RNA-induced silencing complex
GO:0016443	bidentate ribonuclease III
GO:0016444	somatic cell DNA recombination
GO:0016445	generation of antibody gene diversity
GO:0016446	somatic hypermutation of antibody genes
GO:0016447	somatic recombination of antibody genes
GO:0016448	mu DNA polymerase
GO:0016449	lambda DNA polymerase
GO:0001645	class C orphan receptor
GO:0016450	kappa DNA polymerase
GO:0016451	nu DNA polymerase
GO:0016452	theta DNA polymerase
GO:0016453	C-acetyltransferase
GO:0016454	C-palmitoyltransferase
GO:0016455	RNA polymerase II transcription mediator
GO:0016456	dosage compensation complex
GO:0016457	dosage compensation complex assembly
GO:0016458	gene silencing
GO:0016459	myosin
GO:0001646	cAMP receptor, chemotaxis
GO:0016460	myosin II
GO:0016461	unconventional myosin
GO:0016462	pyrophosphatase
GO:0016463	zinc-exporting ATPase
GO:0016464	chloroplast protein-transporting ATPase
GO:0016465	chaperonin ATPase complex
GO:0016466	hydrogen-translocating A-type ATPase
GO:0016467	hydrogen-translocating F-type ATPase
GO:0016468	sodium-translocating F-type ATPase
GO:0016469	hydrogen-transporting two-sector ATPase
GO:0001647	G-protein coupled cytokinin receptor
GO:0016470	hydrogen-translocating F-type ATPase complex (sensu Eukarya)
GO:0016471	hydrogen-translocating V-type ATPase complex
GO:0016472	sodium-transporting two-sector ATPase complex
GO:0016473	sodium-translocating F-type ATPase complex
GO:0016474	sodium-translocating V-type ATPase complex
GO:0016475	interpretation of nuclear/cytoplasmic ratio
GO:0016476	shape changes of embryonic cells
GO:0016477	cell migration
GO:0016478	translational repression
GO:0016479	repression of transcription, from Pol I promoter
GO:0001648	proteinase activated receptor
GO:0016480	repression of transcription, from Pol III promoter
GO:0016481	repression of transcription
GO:0016482	cytoplasmic transport
GO:0016483	tryptophan hydroxylase activator
GO:0016484	proprotein convertase 2 activator
GO:0016485	protein processing
GO:0016486	peptide hormone processing
GO:0016487	farnesol metabolism
GO:0016488	farnesol catabolism
GO:0016489	immunoglobulin receptor
GO:0001649	osteoblast differentiation
GO:0016490	structural constituent of peritrophic membrane (sensu Insecta)
GO:0016491	oxidoreductase
GO:0016492	neurotensin receptor, G-protein coupled
GO:0016493	C-C chemokine receptor
GO:0016494	C-X-C chemokine receptor
GO:0016495	C-X3-C chemokine receptor
GO:0016496	substance P receptor
GO:0016497	substance K receptor
GO:0016498	neuromedin K receptor
GO:0016499	orexin receptor
GO:0000165	MAPKKK cascade
GO:0001650	fibrillar center
GO:0016500	protein-hormone receptor
GO:0016501	prostacylin receptor
GO:0016502	nucleotide receptor
GO:0016503	pheromone receptor
GO:0016504	protease activator
GO:0016505	apoptotic protease activator
GO:0016506	apoptosis activator
GO:0016507	fatty acid beta-oxidation multienzyme complex
GO:0016508	long-chain enoyl-CoA hydratase
GO:0016509	long-chain 3-hydroxyacyl-CoA dehydrogenase
GO:0001651	dense fibrillar component
GO:0016510	short-chain enoyl-CoA hydratase
GO:0016511	endothelin-converting enzyme
GO:0016512	endothelin-converting enzyme 1
GO:0016513	core-binding factor
GO:0016514	SWI/SNF complex
GO:0016515	interleukin-13 receptor
GO:0016516	interleukin-4 receptor complex
GO:0016517	interleukin-12 receptor
GO:0016518	interleukin-14 receptor
GO:0016519	gastric inhibitory peptide receptor
GO:0001652	granular component
GO:0016520	growth hormone-releasing hormone receptor
GO:0016521	pituitary adenylate cyclase activating polypeptide
GO:0016524	latrotoxin receptor
GO:0016525	inhibition of angiogenesis
GO:0016526	G-protein coupled receptor, unknown ligand
GO:0016527	brain-specific angiogenesis inhibitor
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0001653	peptide receptor
GO:0016530	metallochaperone
GO:0016531	copper chaperone
GO:0016532	superoxide dismutase copper chaperone
GO:0016533	cyclin-dependent protein kinase 5 activator
GO:0016534	cyclin-dependent protein kinase 5 activator
GO:0016535	cyclin-dependent protein kinase 5 activator, catalyst
GO:0016536	cyclin-dependent protein kinase 5 activator, regulator
GO:0016537	cyclin-dependent protein kinase, catalyst
GO:0016538	cyclin-dependent protein kinase, regulator
GO:0016539	protein splicing
GO:0001654	eye morphogenesis
GO:0016540	protein autoprocessing
GO:0016541	intein
GO:0016542	male courtship behavior (sensu Drosophila)
GO:0016543	male courtship behavior (sensu Drosophila), orientation
GO:0016544	male courtship behavior (sensu Drosophila), tapping
GO:0016545	male courtship behavior (sensu Drosophila), wing vibration
GO:0016546	male courtship behavior (sensu Drosophila), licking
GO:0016547	RNA editing
GO:0016548	rRNA editing
GO:0016549	tRNA editing
GO:0001655	urogenital system development
GO:0016550	insertion/deletion editing
GO:0016551	post-transcriptional insertion/deletion editing
GO:0016552	co-transcriptional insertion/deletion editing
GO:0016553	base conversion/substitution editing
GO:0016554	cytidine to uridine editing
GO:0016555	uridine to cytidine editing
GO:0016556	mRNA modification
GO:0016557	peroxisome membrane biogenesis
GO:0016558	peroxisome matrix protein import
GO:0016559	peroxisome division
GO:0001656	metanephros development
GO:0016560	peroxisome receptor docking
GO:0016561	peroxisome receptor translocation
GO:0016562	peroxisome receptor recycling
GO:0016563	transcriptional activator
GO:0016564	transcriptional repressor
GO:0016565	general transcriptional repressor
GO:0016566	specific transcriptional repressor
GO:0016567	protein ubiquitination
GO:0016568	chromatin modification
GO:0016569	covalent chromatin modification
GO:0001657	ureteric bud development
GO:0016570	histone modification
GO:0016571	histone methylation
GO:0016572	histone phosphorylation
GO:0016573	histone acetylation
GO:0016574	histone ubiquitination
GO:0016575	histone deacetylation
GO:0016576	histone dephosphorylation
GO:0016577	histone demethylation
GO:0016578	histone deubiquitination
GO:0016579	protein deubiquitination
GO:0001658	ureteric bud branching
GO:0016580	Sin3 complex
GO:0016581	NuRD complex
GO:0016582	non-covalent chromatin modification
GO:0016583	nucleosome modeling
GO:0016584	nucleosome spacing
GO:0016585	chromatin remodeling complex
GO:0016586	RSC complex
GO:0016587	ISWI1 complex
GO:0016588	ISWI2 complex
GO:0016589	NURF complex
GO:0001659	thermoregulation
GO:0016590	ACF complex
GO:0016591	DNA-directed RNA polymerase II, holoenzyme
GO:0016592	Srb-mediator complex
GO:0016593	Cdc73/Paf1 complex
GO:0016594	glycine binding
GO:0016595	glutamate binding
GO:0016596	thienylcyclohexylpiperidine binding
GO:0016597	amino acid binding
GO:0016598	protein arginylation
GO:0016599	caveolar membrane
GO:0000166	nucleotide binding
GO:0001660	fever
GO:0016600	flotillin complex
GO:0016601	RAC protein signal transduction
GO:0016602	CCAAT-binding factor complex
GO:0016603	glutaminyl-peptide cyclotransferase
GO:0016604	nuclear body
GO:0016605	PML body
GO:0016606	Lands
GO:0016607	nuclear speck
GO:0016608	growth hormone-releasing hormone
GO:0016609	G-protein coupled serotonin receptor
GO:0001661	taste aversion
GO:0016610	nitrogenase complex
GO:0016611	iron-iron nitrogenase complex
GO:0016612	molybdenum-iron nitrogenase complex
GO:0016613	vanadium-iron nitrogenase complex
GO:0016614	oxidoreductase, acting on CH-OH group of donors
GO:0016615	malate dehydrogenase
GO:0016616	oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016617	4-oxoproline reductase
GO:0016618	hydroxypyruvate reductase
GO:0016619	malate dehydrogenase (oxaloacetate decarboxylating)
GO:0001662	behavioral fear response
GO:0016620	oxidoreductase, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0016621	cinnamoyl-CoA reductase
GO:0016622	oxidoreductase, acting on the aldehyde or oxo group of donors, cytochrome as acceptor
GO:0016623	oxidoreductase, acting on the aldehyde or oxo group of donors, oxygen as acceptor
GO:0016624	oxidoreductase, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0016625	oxidoreductase, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor
GO:0016626	oxidoreductase, acting on the aldehyde or oxo group of donors, other acceptors
GO:0016627	oxidoreductase, acting on the CH-CH group of donors
GO:0016628	oxidoreductase, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0016629	12-oxophytodienoate reductase
GO:0001663	physiological fear response
GO:0016630	protochlorophyllide reductase
GO:0016631	enoyl-[acyl-carrier protein] reductase
GO:0016632	oxidoreductase, acting on the CH-CH group of donors, cytochrome as acceptor
GO:0016633	galactonolactone dehydrogenase
GO:0016634	oxidoreductase, acting on the CH-CH group of donors, oxygen as acceptor
GO:0016635	oxidoreductase, acting on the CH-CH group of donors, quinone or related compound as acceptor
GO:0016636	oxidoreductase, acting on the CH-CH group of donors, iron-sulfur protein as acceptor
GO:0016637	oxidoreductase, acting on the CH-CH group of donors, other acceptors
GO:0016638	oxidoreductase, acting on the CH-NH2 group of donors
GO:0016639	oxidoreductase, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0001664	G-protein coupled receptor ligand
GO:0016640	oxidoreductase, acting on the CH-NH2 group of donors, cytochrome as acceptor
GO:0016641	oxidoreductase, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0016642	oxidoreductase, acting on the CH-NH2 group of donors, disulfide as acceptor
GO:0016643	oxidoreductase, acting on the CH-NH2 group of donors, iron-sulfur protein as acceptor
GO:0016644	oxidoreductase, acting on the CH-NH2 group of donors, other acceptors
GO:0016645	oxidoreductase, acting on the CH-NH group of donors
GO:0016646	oxidoreductase, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0016647	oxidoreductase, acting on the CH-NH group of donors, oxygen as acceptor
GO:0016648	oxidoreductase, acting on the CH-NH group of donors, disulfide as acceptor
GO:0016649	oxidoreductase, acting on the CH-NH group of donors, quinone or similar compound as acceptor
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase
GO:0016650	oxidoreductase, acting on the CH-NH group of donors, other acceptors
GO:0016651	oxidoreductase, acting on NADH or NADPH
GO:0016652	oxidoreductase, acting on NADH or NADPH, NAD or NADP as acceptor
GO:0016653	oxidoreductase, acting on NADH or NADPH, heme protein as acceptor
GO:0016654	oxidoreductase, acting on NADH or NADPH, disulfide as acceptor
GO:0016655	oxidoreductase, acting on NADH or NADPH, quinone or similar compound as acceptor
GO:0016656	monodehydroascorbate reductase (NADH)
GO:0016657	oxidoreductase, acting on NADH or NADPH, nitrogenous group as acceptor
GO:0016658	oxidoreductase, acting on NADH or NADPH, flavin as acceptor
GO:0016659	oxidoreductase, acting on NADH or NADPH, other acceptor
GO:0001666	response to hypoxia
GO:0016661	oxidoreductase, acting on other nitrogenous compounds as donors
GO:0016662	oxidoreductase, acting on other nitrogenous compounds as donors, cytochrome as acceptor
GO:0016663	oxidoreductase, acting on other nitrogenous compounds as donors, oxygen as acceptor
GO:0016664	oxidoreductase, acting on other nitrogenous compounds as donors, iron-sulfur protein as acceptor
GO:0016665	oxidoreductase, acting on other nitrogenous compounds as donors, other acceptors
GO:0016666	nitrite reductase
GO:0016667	oxidoreductase, acting on sulfur group of donors
GO:0016668	oxidoreductase, acting on sulfur group of donors, NAD or NADP as acceptor
GO:0016669	oxidoreductase, acting on sulfur group of donors, cytochrome as acceptor
GO:0001667	ameboid cell migration
GO:0016670	oxidoreductase, acting on sulfur group of donors, oxygen as acceptor
GO:0016671	oxidoreductase, acting on sulfur group of donors, disulfide as acceptor
GO:0016672	oxidoreductase, acting on sulfur group of donors, quinone or similar compound as acceptor
GO:0016673	oxidoreductase, acting on sulfur group of donors, iron-sulfur protein as acceptor
GO:0016674	oxidoreductase, acting on sulfur group of donors, other acceptors
GO:0016675	oxidoreductase, acting on heme group of donors
GO:0016676	oxidoreductase, acting on heme group of donors, oxygen as acceptor
GO:0016677	oxidoreductase, acting on heme group of donors, nitrogenous group as acceptor
GO:0016678	oxidoreductase, acting on heme group of donors, other acceptors
GO:0016679	oxidoreductase, acting on diphenols and related substances as donors
GO:0001668	phosphatidylinositol-4,5-bisphosphate 5-phosphatase
GO:0016680	oxidoreductase, acting on diphenols and related substances as donors, NAD or NADP as acceptor
GO:0016681	oxidoreductase, acting on diphenols and related substances as donors, cytochrome as acceptor
GO:0016682	oxidoreductase, acting on diphenols and related substances as donors, oxygen as acceptor
GO:0016683	oxidoreductase, acting on diphenols and related substances as donors, other acceptors
GO:0016684	oxidoreductase, acting on peroxide as acceptor
GO:0016685	eosinophil peroxidase
GO:0016686	lactoperoxidase
GO:0016687	myeloperoxidase
GO:0016688	L-ascorbate peroxidase
GO:0016689	manganese peroxidase
GO:0001669	acrosome
GO:0016690	diarylpropane peroxidase
GO:0016691	chloride peroxidase
GO:0016692	NADH peroxidase
GO:0016693	secretory plant peroxidase
GO:0016694	bacterial catalase-peroxidase
GO:0016695	oxidoreductase, acting on hydrogen as donor
GO:0016696	oxidoreductase, acting on hydrogen as donor, NAD or NADP as acceptor
GO:0016697	oxidoreductase, acting on hydrogen as donor, cytochrome as acceptor
GO:0016699	oxidoreductase, acting on hydrogen as donor, iron-sulfur protein as acceptor
GO:0000167	activation of MAPKKK (osmolarity sensing)
GO:0001670	dopamine D2 receptor
GO:0016700	oxidoreductase, acting on hydrogen as donor, other acceptors
GO:0016701	oxidoreductase, acting on single donors with incorporation of molecular oxygen
GO:0016702	oxidoreductase, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0016703	oxidoreductase, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)
GO:0016704	oxidoreductase, acting on single donors with incorporation of molecular oxygen, miscellaneous
GO:0016705	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016706	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
GO:0016707	gibberellin 3-beta-dioxygenase
GO:0016708	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD or NADH as one donor, and incorporation of two atoms of oxygen into one donor
GO:0016709	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD or NADH as one donor, and incorporation of one atom of oxygen
GO:0001671	ATPase stimulator
GO:0016710	trans-cinnamate 4-monooxygenase
GO:0016711	flavonoid 3'-monooxygenase
GO:0016712	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
GO:0016713	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen
GO:0016714	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
GO:0016715	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
GO:0016716	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen
GO:0016717	oxidoreductase, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
GO:0016718	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, miscellaneous
GO:0016719	carotene 7,8-desaturase
GO:0001672	regulation of chromatin metabolism
GO:0016720	D12-fatty acid dehydrogenase
GO:0016721	oxidoreductase, acting on superoxide radicals as acceptor
GO:0016722	oxidoreductase, oxidizing metal ions
GO:0016723	oxidoreductase, oxidizing metal ions, NAD or NADP as acceptor
GO:0016724	oxidoreductase, oxidizing metal ions, oxygen as acceptor
GO:0016725	oxidoreductase, acting on CH2 groups
GO:0016726	oxidoreductase, acting on CH2 groups, NAD or NADP as acceptor
GO:0016727	oxidoreductase, acting on CH2 groups, oxygen as acceptor
GO:0016728	oxidoreductase, acting on CH2 groups, disulfide as acceptor
GO:0016729	oxidoreductase, acting on CH2 groups, other acceptors
GO:0001673	male germ cell nucleus
GO:0016730	oxidoreductase, acting on iron-sulfur proteins as donors
GO:0016731	oxidoreductase, acting on reduced ferredoxin as donor, NAD or NADP as acceptor
GO:0016732	oxidoreductase, acting on reduced ferredoxin as donor, dinitrogen as acceptor
GO:0016733	iron-iron nitrogenase
GO:0016734	molybdenum-iron nitrogenase
GO:0016735	vanadium-iron nitrogenase
GO:0016736	oxidoreductase, acting on reduced ferredoxin as donor, hydrogen ions as acceptors
GO:0016737	oxidoreductase, acting on reduced flavodoxin as donor
GO:0016738	oxidoreductase, acting on reduced flavodoxin as donor, dinitrogen as acceptor
GO:0016739	oxidoreductase, acting on other substrates
GO:0001674	female germ cell nucleus
GO:0016740	transferase
GO:0016741	transferase, transferring one-carbon groups
GO:0016742	hydroxymethyl-, formyl- and related transferase
GO:0016743	carboxyl- and carbamoyltransferase
GO:0016744	transferase, transferring aldehyde or ketonic groups
GO:0016745	transketolase and transaldolase
GO:0016746	transferase, transferring acyl groups
GO:0016747	transferase, transferring groups other than amino-acyl groups
GO:0016748	succinyltransferase
GO:0016749	N-succinyltransferase
GO:0001675	acrosome formation
GO:0016750	O-succinyltransferase
GO:0016751	S-succinyltransferase
GO:0016752	sinapoyltransferase
GO:0016753	O-sinapoyltransferase
GO:0016754	sinapoylglucose-malate O-sinapoyltransferase
GO:0016755	transferase, transferring amino-acyl groups
GO:0016756	glutathione gamma-glutamylcysteinyltransferase
GO:0016757	transferase, transferring glycosyl groups
GO:0016758	transferase, transferring hexosyl groups
GO:0016759	cellulose synthase
GO:0001676	long chain fatty acid metabolism
GO:0016760	cellulose synthase (UDP-forming)
GO:0016761	cellulose synthase (GDP-forming)
GO:0016762	xyloglucan:xyloglucosyl transferase
GO:0016763	transferase, transferring pentosyl groups
GO:0016764	transferase, transferase, transferring other glycosyl groups
GO:0016765	transferase, transferring alkyl or aryl (other than methyl) groups
GO:0016766	transferring alkyl or aryl groups, other than methyl groups
GO:0016767	geranylgeranyl-diphosphate geranylgeranyltransferase
GO:0016768	spermine synthase
GO:0016769	transferase, transferring nitrogenous groups
GO:0001677	ternary complex formation
GO:0016770	oximinotransaminase
GO:0016771	transferase, transferring other nitrogenous groups
GO:0016772	transferase, transferring phosphorus-containing groups
GO:0016773	phosphotransferase, alcohol group as acceptor
GO:0016774	phosphotransferase, carboxyl group as acceptor
GO:0016775	phosphotransferase, nitrogenous group as acceptor
GO:0016776	phosphotransferase, phosphate group as acceptor
GO:0016777	phosphotransferase, with regeneration of donors, apparently catalyzing intramolecular transfers
GO:0016778	diphosphotransferase
GO:0016779	nucleotidyltransferase
GO:0001678	glucose homeostasis
GO:0016780	phosphotransferase, for other substituted phosphate groups
GO:0016781	phosphotransferase, paired acceptors
GO:0016782	transferase, transferring sulfur-containing groups
GO:0016783	sulfurtransferase
GO:0016784	3-mercaptopyruvate sulfurtransferase
GO:0016785	transferase, transferring selenium-containing groups
GO:0016786	selenotransferase
GO:0016787	hydrolase
GO:0016788	hydrolase, acting on ester bonds
GO:0016789	carboxylic ester hydrolase
GO:0001679	neurulation
GO:0016790	thiolester hydrolase
GO:0016791	phosphoric monoester hydrolase
GO:0016793	triphosphoric monoester hydrolase
GO:0016794	diphosphoric monoester hydrolase
GO:0016795	phosphoric triester hydrolase
GO:0016796	exonuclease, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016797	exonuclease, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO:0016798	hydrolase, acting on glycosyl bonds
GO:0016799	hydrolase, hydrolyzing N-glycosyl compounds
GO:0000168	activation of MAPKK (osmolarity sensing)
GO:0001680	tRNA 3'-terminal CCA addition
GO:0016800	hydrolase, hydrolyzing S-glycosyl compounds
GO:0016801	hydrolase, acting on ether bonds
GO:0016802	thioether hydrolase
GO:0016803	ether hydrolase
GO:0016804	prolyl aminopeptidase
GO:0016805	dipeptidase
GO:0016806	dipeptidyl-peptidase and tripeptidyl-peptidase
GO:0016807	cysteine-type carboxypeptidase
GO:0016808	proprotein convertase
GO:0001681	sialate O-acetylesterase
GO:0016810	hydrolase, acting on carbon-nitrogen (but not peptide) bonds
GO:0016811	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0016812	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016813	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0016814	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0016815	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in nitriles
GO:0016816	hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in other compounds
GO:0016817	hydrolase, acting on acid anhydrides
GO:0016818	hydrolase, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016819	hydrolase, acting on acid anhydrides, in sulfonyl-containing anhydrides
GO:0001682	tRNA 5'-leader removal
GO:0016820	hydrolase, acting on acid anhydrides, catalyzing transmembrane movement of substances
GO:0016821	hydrolase, acting on acid anhydrides, involved in cellular and subcellular movement
GO:0016822	hydrolase, acting on acid carbon-carbon bonds
GO:0016823	hydrolase, acting on acid carbon-carbon bonds, in ketonic substances
GO:0016824	hydrolase, acting on acid halide bonds
GO:0016825	hydrolase, acting on acid phosphorus-nitrogen bonds
GO:0016826	hydrolase, acting on acid sulfur-nitrogen bonds
GO:0016827	hydrolase, acting on acid carbon-phosphorus bonds
GO:0016828	hydrolase, acting on acid sulfur-sulfur bonds
GO:0016829	lyase
GO:0001683	axonemal dynein heavy chain
GO:0016830	carbon-carbon lyase
GO:0016831	carboxy-lyase
GO:0016832	aldehyde-lyase
GO:0016833	oxo-acid-lyase
GO:0016834	other carbon-carbon lyase
GO:0016835	carbon-oxygen lyase
GO:0016836	hydro-lyase
GO:0016837	carbon-oxygen lyase, acting on polysaccharides
GO:0016838	carbon-oxygen lyase, acting on phosphates
GO:0016839	other carbon-oxygen lyase
GO:0001684	axonemal dynein intermediate chain
GO:0016840	carbon-nitrogen lyase
GO:0016841	ammonia-lyase
GO:0016842	amidine-lyase
GO:0016843	amine-lyase
GO:0016844	strictosidine synthase
GO:0016845	other carbon-nitrogen lyase
GO:0016846	carbon-sulfur lyase
GO:0016847	1-aminocyclopropane-1-carboxylate synthase
GO:0016848	carbon-halide lyase
GO:0016849	phosphorus-oxygen lyase
GO:0001685	axonemal dynein intermediate light chain
GO:0016850	other lyase
GO:0016851	magnesium chelatase
GO:0016852	cobalt chelatase
GO:0016853	isomerase
GO:0016854	racemase and epimerase
GO:0016855	racemase and epimerase, acting on amino acids and derivatives
GO:0016856	racemase and epimerase, acting on hydroxy acids and derivatives
GO:0016857	racemase and epimerase, acting on carbohydrates and derivatives
GO:0016858	racemase and epimerase, acting on other compounds
GO:0016859	cis-trans isomerase
GO:0001686	axonemal dynein light chain
GO:0016860	intramolecular isomerase
GO:0016861	intramolecular isomerase, interconverting aldoses and ketoses
GO:0016862	intramolecular isomerase, interconverting keto- and enol-groups
GO:0016863	intramolecular isomerase, transposing C=C bonds
GO:0016864	intramolecular isomerase, transposing S-S bonds
GO:0016865	intramolecular isomerase, other intramolecular oxidoreductases
GO:0016866	intramolecular transferase
GO:0016867	intramolecular transferase, transferring acyl groups
GO:0016868	intramolecular transferase, phosphotransferases
GO:0016869	intramolecular transferase, transferring amino groups
GO:0001687	cytoplasmic dynein heavy chain
GO:0016870	intramolecular transferase, transferring other groups
GO:0016871	cycloartenol synthase
GO:0016872	intramolecular lyase
GO:0016873	other isomerase
GO:0016874	ligase
GO:0016875	ligase, forming carbon-oxygen bonds
GO:0016876	ligase, forming aminoacyl-tRNA and related compounds
GO:0016877	ligase, forming carbon-sulfur bonds
GO:0016878	acid-thiol ligase
GO:0016879	ligase, forming carbon-nitrogen bonds
GO:0001688	cytoplasmic dynein intermediate chain
GO:0016880	acid-ammonia (or amide) ligase
GO:0016881	acid-D-amino acid ligase
