class	size	virtual_size	pval (mean)	raw score (mean)	pval  (median)	virtual_size (median)	hyper pval	aroc rate	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
cornified envelope(GO:0001533)	4	4	0.9304	0.315765233	0.8269	4	0.996993839	0.342465753	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
co-translational membrane targeting(GO:0006613)	13	8	0.4866	0.409678338	0.6953	8	0.993994913	0.525474469	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
CTD phosphatase(GO:0008420)	18	16	0.3269	0.644222929	0.3854	16	0.988018709	0.580653371	0.172116354	0.330853721	0.113382251	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
CTP biosynthesis(GO:0006241)	9	6	0.3171	0.534913968	0.5201	6	0.995493473	0.557295588	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
cyclic nucleotide biosynthesis(GO:0009190)	8	8	0.6237	0.498242592	0.5805	8	0.993994913	0.459839584	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
cyclic nucleotide metabolism(GO:0009187)	10	9	0.3951	0.498242592	0.5805	9	0.99324631	0.509256469	0.288337889	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
cyclic-nucleotide dependent protein kinase(GO:0004690)	32	26	0.3825	0.385862409	0.7296	26	0.980588913	0.505698651	0.202624203	0.37469273	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
cyclic-nucleotide phosphodiesterase(GO:0004112)	11	10	0.3951	0.368475062	0.7555	10	0.992498158	0.514946512	0.296786476	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
cyclic-nucleotide-mediated signaling(GO:0019935)	36	30	0.4453	0.434104978	0.6565	30	0.97762954	0.512855776	0.190527606	0.374136424	0.786083714	0.930104385	0.97762954	0.990993065	0.990993065	0.995486686	0.995486686	0.995486686
cyclin-dependent protein kinase holoenzyme(GO:0000307)	8	7	0.4593	0.24334868	0.9065	7	0.994743967	0.429023236	0.248034262	0.200235489	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
"cyclin-dependent protein kinase holoenzyme, nuclear(GO:0019908)"	8	7	0.4593	0.24334868	0.9065	7	0.994743967	0.429023236	0.248034262	0.200235489	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
cyclin-dependent protein kinase inhibitor(GO:0004861)	6	5	0.208	0.754068046	0.2886	5	0.99624343	0.656760012	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
cyclin-dependent protein kinase(GO:0004693)	39	35	0.2678	0.607039385	0.4305	35	0.973940376	0.561537464	0.041942295	0.228172445	0.213521081	0.078003598	0.973940376	0.989495871	0.989495871	0.994734467	0.994734467	0.994734467
"cyclin-dependent protein kinase, regulator(GO:0016538)"	32	29	0.2678	0.486955619	0.5932	29	0.978368713	0.558888507	0.068565994	0.193246516	0.185495689	0.065517847	0.978368713	0.99129264	0.99129264	0.99563713	0.99563713	0.99563713
cyclophilin(GO:0004600)	15	13	0.4089	0.407596158	0.6953	13	0.990256407	0.489680202	0.225895184	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
cysteine metabolism(GO:0006534)	4	4	0.202	0.795201962	0.2544	4	0.996993839	0.47877465	0.39450791	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
cysteine protease inhibitor(GO:0004869)	8	8	0.208	0.973017557	0.1615	8	0.993994913	0.614418587	0.272339628	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
cysteine-type endopeptidase(GO:0004197)	77	57	0.3951	0.373040631	0.7412	57	0.041449201	0.484306365	0.054342421	0.186708049	0.009301925	0.120833382	0.041449201	0.017006081	0.017006081	0.991424703	0.991424703	0.991424703
cysteine-type peptidase(GO:0008234)	86	65	0.3951	0.388818571	0.7296	65	0.047037478	0.498931819	0.073700529	0.208947913	0.013064888	0.135301921	0.047037478	0.019369357	0.019369357	0.990221152	0.990221152	0.990221152
cytochrome b5 reductase(GO:0004128)	5	4	0.2783	1.101933339	0.1096	4	0.996993839	0.679888605	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
cytochrome c oxidase(GO:0004129)	18	16	0.4314	0.55912239	0.4961	16	0.988018709	0.562763912	0.246975604	0.560418537	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
cytochrome P450(GO:0005490)	7	6	0.7142	0.393973525	0.7111	6	0.995493473	0.414244843	0.401216791	0.177926571	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
cytochrome P450(GO:0015034)	12	11	0.7776	0.410452503	0.6845	11	0.991750457	0.451230204	0.278262899	0.272411548	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
cytokine binding(GO:0019955)	18	16	0.3269	0.462256441	0.6204	16	0.988018709	0.54226361	0.246975604	0.560418537	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
cytokine(GO:0005125)	82	67	0.4593	0.402118415	0.6953	67	0.950592576	0.495218437	0.126661712	0.26692501	0.317292838	0.850204655	0.950592576	0.979940629	0.979940629	0.989920265	0.989920265	0.989920265
cytokinesis(GO:0007104)	51	40	0.3373	0.436584776	0.6565	40	0.970262358	0.52495081	0.164406214	0.249790015	0.725302719	0.907842494	0.970262358	0.987999809	0.987999809	0.993982248	0.993982248	0.993982248
cytokinesis(GO:0016288)	75	58	0.3373	0.496359099	0.5805	58	0.957113385	0.538274344	0.128791789	0.037721831	0.294986102	0.869024732	0.957113385	0.982623355	0.982623355	0.991274259	0.991274259	0.991274259
cytoplasmic dynein(GO:0005868)	8	7	0.3825	0.584379034	0.4597	7	0.994743967	0.508433735	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
cytoplasmic microtubule(GO:0005881)	8	7	0.3825	0.584379034	0.4597	7	0.994743967	0.508433735	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
cytoplasmic transport(GO:0016482)	57	45	0.3951	0.410061563	0.6845	45	0.966595459	0.499878825	0.154371505	0.326063428	0.696666037	0.896899816	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
cytoplasmic vesicle(GO:0016023)	100	83	0.5015	0.416999142	0.6845	83	0.939087809	0.4979626	0.017138517	0.229542999	0.512423258	0.817686829	0.939087809	0.975180393	0.975180393	0.987513164	0.987513164	0.987513164
cytoskeletal adaptor(GO:0008093)	4	4	0.2156	0.915066425	0.1874	4	0.996993839	0.555095589	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
cytoskeletal anchoring(GO:0007016)	13	10	0.5626	0.273427633	0.8762	10	0.992498158	0.404957059	0.296786476	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
cytoskeletal regulatory protein binding(GO:0005519)	10	7	0.4089	0.719808752	0.3192	7	0.994743967	0.645933735	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
cytosolic calcium ion concentration elevation(GO:0007204)	5	5	0.5933	0.509269192	0.5662	5	0.99624343	0.526257151	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
cytosolic large ribosomal subunit (sensu Eukarya)(GO:0005842)	49	38	0.6516	0.373834207	0.7412	38	0.971732229	0.462869612	0.096804485	0.252177534	0.737078004	0.912254509	0.971732229	0.988598098	0.988598098	0.994283135	0.994283135	0.994283135
cytosolic phospholipase A2(GO:0004626)	7	6	0.5933	0.394597976	0.7111	6	0.995493473	0.544421021	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
cytosolic ribosome (sensu Eukarya)(GO:0005830)	100	75	0.6516	0.365139994	0.7555	75	0.944826184	0.453207547	0.035003747	0.065430735	0.546734498	0.833797138	0.944826184	0.977559063	0.977559063	0.988716714	0.988716714	0.988716714
cytosolic small ribosomal subunit (sensu Eukarya)(GO:0005843)	41	30	0.6675	0.305917146	0.8398	30	0.97762954	0.433287996	0.117571622	0.337251223	0.786083714	0.930104385	0.97762954	0.990993065	0.990993065	0.995486686	0.995486686	0.995486686
damaged DNA binding(GO:0003684)	6	5	0.823	0.427488524	0.6697	5	0.99624343	0.45266486	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
'de novo' pyrimidine biosynthesis(GO:0006207)	6	5	0.6237	0.179627747	0.9629	5	0.99624343	0.322914785	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
deactivation of rhodopsin mediated signaling(GO:0016059)	5	4	0.7624	0.369490766	0.7555	4	0.996993839	0.449119374	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
deaminase(GO:0019239)	6	5	0.2878	0.430717993	0.6565	5	0.99624343	0.572297501	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
death receptor adaptor protein(GO:0005037)	5	4	0.3594	0.434400083	0.6565	4	0.996993839	0.504892368	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
death receptor(GO:0005035)	13	11	0.6516	0.395606527	0.7111	11	0.991750457	0.42058469	0.278262899	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
defense/immunity protein(GO:0003793)	72	58	0.1872	0.506611665	0.5662	58	0.042150779	0.548728026	0.056286249	0.003251746	0.001023353	0.007976103	0.042150779	0.017301808	0.017301808	0.008725741	0.008725741	0.008725741
degradation of cyclin(GO:0008054)	4	4	0.0253	1.151496826	0.0981	4	0.996993839	0.635857293	0.126875647	0.127478061	0.031151176	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
delta DNA polymerase complex(GO:0005659)	4	4	0.2783	0.911438688	0.1874	4	0.996993839	0.540794822	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
delta DNA polymerase(GO:0003891)	10	9	0.6675	0.245712837	0.9065	9	0.99324631	0.40922634	0.288337889	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
deoxycytidyl transferase(GO:0017125)	9	8	0.6374	0.308000473	0.8398	8	0.993994913	0.420018075	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
"deoxycytidyl transferase, template dependent(GO:0019986)"	9	8	0.6374	0.308000473	0.8398	8	0.993994913	0.420018075	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
deoxynucleoside kinase(GO:0019136)	5	4	0.0447	1.639065948	0.0206	4	0.996993839	0.772542526	0.01811626	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
deoxyribonuclease(GO:0004536)	5	5	0.4453	0.905738557	0.1936	5	0.99624343	0.610388437	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
dephosphorylation(GO:0016311)	102	83	0.3726	0.424777505	0.6697	83	0.939087809	0.530089279	0.0131186	0.168930887	0.11331164	0.165809759	0.939087809	0.975180393	0.975180393	0.987513164	0.987513164	0.987513164
detoxification response(GO:0009636)	21	17	0.2421	0.653940567	0.3729	17	0.987273709	0.681518942	0.103254238	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
deubiquitination(GO:0006514)	9	7	0.9304	0.21548969	0.9335	7	0.994743967	0.305141997	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
"di-, tri-valent inorganic cation homeostasis(GO:0030005)"	26	20	0.1079	0.689285451	0.3447	20	0.985041406	0.585762789	0.077388537	0.027449254	0.13733316	0.046116263	0.985041406	0.99399085	0.99399085	0.996991124	0.996991124	0.996991124
"di-, tri-valent inorganic cation transport(GO:0015674)"	55	45	0.3171	0.420799664	0.6697	45	0.966595459	0.495317917	0.136102333	0.053541086	0.253671526	0.098036719	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
"di-, tri-valent inorganic cation transporter(GO:0015082)"	25	19	0.4197	0.460447192	0.6204	19	0.985785058	0.512641743	0.20472546	0.35257434	0.858720929	0.955183089	0.985785058	0.994290877	0.994290877	0.997141568	0.997141568	0.997141568
dicarboxylic acid transport(GO:0006835)	6	5	0.823	0.114882008	0.9884	5	0.99624343	0.284703403	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
dicarboxylic acid transporter(GO:0005310)	6	5	0.823	0.114882008	0.9884	5	0.99624343	0.284703403	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
digestion(GO:0007586)	17	16	0.4314	0.357772972	0.7725	16	0.988018709	0.467218368	0.246975604	0.091156743	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
dihydropyrimidinase(GO:0004157)	4	4	0.0591	1.102361914	0.1096	4	0.996993839	0.833810026	0.01811626	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
dipeptidase(GO:0016805)	5	4	0.5309	0.42668388	0.6697	4	0.996993839	0.492021677	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
dipeptidyl-peptidase(GO:0008239)	6	5	0.974	0.151952591	0.9727	5	0.99624343	0.261818729	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
diphosphoinositol polyphosphate phosphohydrolase(GO:0008486)	5	4	0.0183	1.374814666	0.0509	4	0.996993839	0.871782327	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
diphosphotransferase(GO:0016778)	8	7	0.9304	0.217943236	0.9335	7	0.994743967	0.333842513	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
disulfide oxidoreductase(GO:0015036)	21	16	0.5015	0.456807631	0.6329	16	0.988018709	0.494599231	0.152991085	0.330853721	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
DNA alkylation(GO:0006305)	18	16	0.5471	0.314240353	0.8269	16	0.988018709	0.467859297	0.246975604	0.560418537	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
DNA damage checkpoint(GO:0000077)	7	6	0.7921	0.423624092	0.6697	6	0.995493473	0.411258345	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
DNA damage response(GO:0006974)	25	22	0.6829	0.305315846	0.8398	22	0.983555448	0.41690566	0.211571718	0.450863774	0.838282182	0.948281296	0.983555448	0.993390931	0.993390931	0.996690236	0.996690236	0.996690236
DNA dependent adenosinetriphosphatase(GO:0008094)	20	17	0.6095	0.206869937	0.9419	17	0.987273709	0.455860172	0.230040359	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
DNA dependent DNA replication(GO:0006261)	44	37	0.6374	0.321508936	0.8145	37	0.972467833	0.438986793	0.171119353	0.261514512	0.743035779	0.914468048	0.972467833	0.98889731	0.98889731	0.994433579	0.994433579	0.994433579
DNA helicase(GO:0003678)	47	40	0.3594	0.389286618	0.7296	40	0.029388531	0.483256395	0.164406214	0.249790015	0.234575403	0.088140048	0.029388531	0.011964878	0.011964878	0.006017752	0.006017752	0.006017752
DNA integration(GO:0015074)	6	4	0.6516	0.434317433	0.6565	4	0.996993839	0.474258618	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
DNA ligase (ATP)(GO:0003910)	6	5	0.1261	0.718239628	0.3192	5	0.99624343	0.745829569	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
DNA ligase(GO:0003909)	6	5	0.1261	0.718239628	0.3192	5	0.99624343	0.745829569	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
DNA methylation(GO:0006306)	17	15	0.5015	0.314240353	0.8269	15	0.988764159	0.488389626	0.243696767	0.581096895	0.886734772	0.964458754	0.988764159	0.995491439	0.995491439	0.997743343	0.997743343	0.997743343
DNA modification(GO:0006304)	22	20	0.5626	0.314240353	0.8269	20	0.985041406	0.462139731	0.21073317	0.484779302	0.851854271	0.952877276	0.985041406	0.99399085	0.99399085	0.996991124	0.996991124	0.996991124
DNA packaging(GO:0006323)	79	66	0.3825	0.521100336	0.5347	66	0.95131535	0.5385384	0.046064723	0.268504281	0.588032715	0.852276745	0.95131535	0.980238529	0.980238529	0.990070709	0.990070709	0.990070709
DNA recombination(GO:0006310)	42	33	0.4453	0.485957226	0.5932	33	0.975414703	0.537706976	0.177385316	0.369234625	0.767342975	0.923372654	0.975414703	0.990094613	0.990094613	0.995035354	0.995035354	0.995035354
DNA repair enzyme(GO:0003686)	12	10	0.3951	0.706376726	0.3283	10	0.992498158	0.537501883	0.169695694	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
DNA repair protein(GO:0003685)	45	38	0.4197	0.517955796	0.5534	38	0.971732229	0.556689044	0.167297645	0.354805165	0.737078004	0.912254509	0.971732229	0.988598098	0.988598098	0.994283135	0.994283135	0.994283135
DNA repair(GO:0006281)	121	99	0.4593	0.443649247	0.6454	99	0.927694703	0.525544079	0.094390244	0.100515939	0.450018191	0.786337785	0.927694703	0.970431747	0.970431747	0.985106063	0.985106063	0.985106063
DNA replication factor C complex(GO:0005663)	8	7	0.3072	0.520021819	0.5347	7	0.994743967	0.623149742	0.248034262	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
DNA replication factor(GO:0003687)	18	14	0.5015	0.469813113	0.6204	14	0.989510058	0.558570782	0.275843115	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
DNA replication initiation(GO:0006270)	15	11	0.8083	0.201646351	0.9419	11	0.991750457	0.3584169	0.117713351	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
DNA replication origin binding(GO:0003688)	6	4	0.8996	0.361101601	0.7555	4	0.996993839	0.38958302	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
DNA replication(GO:0006260)	100	84	0.5626	0.345419204	0.7868	84	0.938372477	0.464481618	0.113403777	0.22722563	0.508285776	0.815693686	0.938372477	0.974883263	0.974883263	0.98736272	0.98736272	0.98736272
DNA topoisomerase(GO:0003916)	6	6	0.137	0.345419204	0.7868	6	0.995493473	0.455453496	0.215134072	0.177926571	0.045998039	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
DNA topological change(GO:0006265)	7	7	0.7776	0.22200802	0.9238	7	0.994743967	0.358197074	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
DNA-directed DNA polymerase(GO:0003887)	19	16	0.6829	0.245712837	0.9065	16	0.988018709	0.389100437	0.246554144	0.560418537	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
DNA-directed RNA polymerase I complex(GO:0005736)	6	5	0.9911	0.176030462	0.9629	5	0.99624343	0.208190304	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
DNA-directed RNA polymerase I(GO:0003900)	21	18	0.6989	0.300986568	0.8398	18	0.986529159	0.39025494	0.213047558	0.521234456	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
DNA-directed RNA polymerase II(GO:0003901)	21	18	0.6516	0.367856647	0.7555	18	0.986529159	0.425906371	0.213047558	0.521234456	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
"DNA-directed RNA polymerase II, core(GO:0005665)"	25	25	0.5771	0.373033796	0.7412	25	0.981329875	0.487665358	0.187660832	0.404370153	0.818320941	0.941426277	0.981329875	0.992491392	0.992491392	0.996238905	0.996238905	0.996238905
"DNA-directed RNA polymerase II, holoenzyme(GO:0016591)"	66	56	0.5771	0.39169866	0.7111	56	0.958567302	0.471760734	0.138484063	0.130942434	0.637513671	0.873259675	0.958567302	0.983220015	0.983220015	0.991575147	0.991575147	0.991575147
DNA-directed RNA polymerase III complex(GO:0005666)	5	4	0.3171	1.046660797	0.131	4	0.996993839	0.558294445	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
DNA-directed RNA polymerase III(GO:0003902)	21	18	0.6989	0.300986568	0.8398	18	0.986529159	0.393657498	0.213047558	0.521234456	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
DNA-directed RNA polymerase(GO:0003899)	35	27	0.6989	0.252747489	0.8948	27	0.979848399	0.386740517	0.151903646	0.376059136	0.805273313	0.936882104	0.979848399	0.991891925	0.991891925	0.995938017	0.995938017	0.995938017
double-strand break repair(GO:0006302)	8	8	0.5309	0.517955796	0.5534	8	0.993994913	0.529842597	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
double-stranded DNA binding(GO:0003690)	18	15	0.4197	0.485957226	0.5932	15	0.988764159	0.588279051	0.073850521	0.581096895	0.886734772	0.964458754	0.988764159	0.995491439	0.995491439	0.997743343	0.997743343	0.997743343
double-stranded RNA binding(GO:0003725)	14	13	0.6675	0.30258756	0.8398	13	0.990256407	0.460970293	0.079744785	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
drug binding(GO:0008144)	7	6	0.3825	0.467545018	0.6204	6	0.995493473	0.472795262	0.401216791	0.177926571	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
drug resistance(GO:0009315)	6	5	0.4089	0.316817829	0.8269	5	0.99624343	0.472207167	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
drug susceptibility/resistance(GO:0016351)	4	4	0.223	1.030178873	0.135	4	0.996993839	0.572256511	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
drug transport(GO:0015893)	4	4	0.3726	0.379374728	0.7412	4	0.996993839	0.499322595	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
drug transporter(GO:0015238)	6	6	0.6989	0.155522824	0.9727	6	0.995493473	0.315615118	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
dynactin complex(GO:0005869)	7	6	0.1796	0.547569506	0.509	6	0.995493473	0.642473523	0.215134072	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
dynein ATPase(GO:0008567)	8	6	0.6829	0.293435826	0.8541	6	0.995493473	0.353009085	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
dynein(GO:0030286)	15	12	0.4314	0.536181638	0.5201	12	0.991003207	0.507045968	0.295119693	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
dystrophin-associated glycoprotein complex(GO:0016010)	5	4	0.9911	0.202538559	0.9419	4	0.996993839	0.214812585	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
early endosome(GO:0005769)	19	15	0.5177	0.597601041	0.4436	15	0.988764159	0.53756534	0.174248411	0.581096895	0.886734772	0.964458754	0.988764159	0.995491439	0.995491439	0.997743343	0.997743343	0.997743343
EGF receptor signaling pathway(GO:0007173)	13	11	0.8996	0.207751932	0.9419	11	0.991750457	0.315811825	0.117713351	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
eicosanoid metabolism(GO:0006690)	17	14	0.148	0.561299467	0.4832	14	0.989510058	0.631593117	0.019176848	0.074275761	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
electrochemical potential-driven transporter(GO:0015290)	102	85	0.3951	0.368572974	0.7555	85	0.937657581	0.484992022	0.11358233	0.102826534	0.117032178	0.813705099	0.937657581	0.974586179	0.974586179	0.987212276	0.987212276	0.987212276
electron carrier(GO:0009055)	23	17	0.5015	0.456807631	0.6329	17	0.987273709	0.47857333	0.246938359	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
electron transfer flavoprotein(GO:0008246)	41	33	0.4742	0.456807631	0.6329	33	0.975414703	0.522523389	0.177385316	0.369234625	0.767342975	0.923372654	0.975414703	0.990094613	0.990094613	0.995035354	0.995035354	0.995035354
embryo implantation(GO:0007566)	5	5	0.7921	0.188592578	0.9563	5	0.99624343	0.372387835	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
endocytosis(GO:0006897)	84	58	0.6095	0.354067096	0.7725	58	0.957113385	0.459197932	0.079804314	0.121732474	0.627301285	0.869024732	0.957113385	0.982623355	0.982623355	0.991274259	0.991274259	0.991274259
endodeoxyribonuclease(GO:0004520)	4	4	0.4089	0.915781313	0.1874	4	0.996993839	0.626448894	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
endoderm development(GO:0007492)	16	14	0.6237	0.340597274	0.7868	14	0.989510058	0.481079451	0.19757089	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
